@relation TEST_ITEM_TRANS
@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute Class {0,1}

@data
34.1,93.5,25.6,70.5,70.1,67.8,25.1,35.7,1
60.0,54.5,61.4,6.8,7.2,58.0,19.9,12.9,1
68.0,15.2,58.5,27.3,12.1,7.9,76.5,68.1,0
58.8,91.9,90.4,85.5,61.4,25.5,64.7,81.8,0
40.2,68.4,88.5,5.2,54.0,94.1,77.8,85.3,0
62.2,25.3,82.6,4.3,17.0,61.4,87.9,24.8,0
2.6,82.2,19.7,77.9,49.4,49.7,10.3,39.5,1
28.9,47.3,74.4,86.2,57.1,81.3,77.2,29.4,1
84.7,2.4,81.7,69.6,75.2,37.2,52.9,30.4,1
74.3,92.3,88.1,80.1,51.6,94.2,68.6,34.8,1
26.1,44.8,9.3,2.9,72.5,90.7,78.5,6.6,1
12.8,35.1,87.3,80.5,18.6,68.6,79.8,99.0,0
74.6,17.2,72.1,57.9,80.3,70.4,81.4,9.6,1
45.2,61.0,67.8,33.6,33.3,29.4,23.6,44.8,1
75.1,15.3,99.3,38.0,65.1,96.0,72.0,62.2,0
78.5,2.0,28.5,59.7,56.1,84.0,11.5,81.5,1
82.3,56.0,71.6,66.0,15.9,70.1,26.9,77.7,1
17.0,42.6,22.5,13.8,6.1,50.1,66.1,22.8,1
73.2,21.7,39.4,62.2,11.5,88.2,68.5,71.7,1
17.9,61.8,39.6,80.0,9.5,12.6,13.9,81.7,1
37.1,87.3,25.8,86.2,58.3,63.4,9.1,14.9,1
34.8,88.6,30.4,33.6,65.2,75.7,86.5,42.5,1
27.3,6.5,67.4,17.2,49.6,31.2,20.5,16.2,0
68.5,86.6,47.6,82.8,55.5,84.8,3.4,35.4,1
94.9,19.5,88.8,76.1,33.2,48.2,59.3,63.7,1
81.3,88.5,22.5,93.9,94.5,46.0,71.3,15.0,1
4.7,46.7,54.8,10.4,90.4,31.6,15.2,82.4,0
33.0,91.1,95.2,54.8,36.0,13.1,34.2,79.0,0
43.5,88.5,23.5,22.9,86.5,17.6,56.0,21.7,1
14.1,5.7,34.9,13.5,25.0,45.8,51.5,86.1,0
21.6,5.4,67.4,54.9,83.7,48.4,66.6,44.0,0
16.7,18.4,80.4,77.4,20.8,84.0,20.9,81.9,1
74.1,58.2,17.3,75.3,75.7,85.7,28.2,69.7,1
11.0,68.1,56.2,29.6,90.9,36.1,16.8,92.1,0
7.2,43.7,8.3,30.3,70.1,93.1,91.6,31.1,1
80.6,43.9,42.8,54.9,25.3,50.6,10.5,45.1,1
78.5,62.9,78.2,57.6,8.6,26.6,81.3,12.6,1
95.1,79.2,17.8,44.4,56.1,96.8,18.7,45.7,1
38.7,89.6,21.1,55.7,93.6,96.3,52.7,97.3,1
38.7,89.4,5.9,16.0,10.7,72.7,91.8,78.8,1
58.7,20.8,36.3,49.3,52.4,80.2,19.4,83.0,1
6.9,78.4,84.8,26.1,33.6,53.8,33.8,44.8,1
26.9,34.6,40.0,3.6,40.0,2.6,52.1,30.9,0
6.2,57.8,41.4,55.5,46.3,32.7,23.6,74.3,1
97.5,35.9,85.3,42.8,68.5,28.2,88.4,15.1,0
93.0,53.7,3.2,72.0,6.0,55.2,93.5,40.0,1
53.4,79.7,87.6,71.0,88.0,11.3,35.9,28.5,1
53.7,92.8,69.6,78.7,40.7,59.2,38.5,46.8,1
98.3,11.5,15.9,85.1,21.2,36.6,32.4,55.2,1
85.2,89.9,46.2,46.5,62.6,76.8,19.0,67.6,1
96.5,68.2,13.6,68.0,87.7,25.0,5.4,24.8,1
88.4,58.5,0.1,61.0,85.2,58.6,72.2,67.0,1
78.1,73.8,30.9,9.6,23.2,44.9,95.1,34.1,0
65.7,86.3,42.3,46.6,69.2,28.5,5.9,0.0,1
85.9,23.4,3.0,21.8,82.3,70.2,98.6,53.1,0
98.1,53.4,60.4,49.9,91.4,8.4,72.1,1.6,1
21.6,98.0,74.0,73.4,61.6,87.6,23.9,89.4,1
13.2,6.9,10.9,95.2,5.1,14.7,18.9,51.5,1
56.1,67.3,45.4,53.4,15.7,58.1,79.0,36.1,1
16.9,28.3,55.2,25.7,26.2,66.3,19.9,85.7,0
38.9,63.5,26.0,49.1,38.7,39.7,20.2,20.0,1
50.2,91.0,30.9,72.2,15.4,82.5,73.2,6.4,1
95.6,5.3,80.3,87.8,96.1,75.2,0.4,38.7,1
90.6,11.9,3.8,87.3,53.2,37.8,58.0,85.4,1
67.6,48.8,44.0,38.2,22.5,15.8,87.3,78.7,0
51.6,32.4,12.6,74.4,58.8,35.2,36.8,95.4,1
69.1,33.8,93.2,88.7,22.8,58.7,22.4,64.3,1
30.2,42.1,82.8,40.6,76.0,33.6,22.2,39.3,0
1.3,79.3,48.7,92.5,85.7,40.5,45.1,12.0,1
32.3,36.6,63.4,3.6,30.7,31.3,22.3,54.0,0
46.5,47.2,81.0,11.0,58.1,22.7,77.0,88.9,0
36.3,97.1,58.0,79.8,77.1,2.4,36.3,86.6,1
41.0,85.3,7.6,59.3,90.0,61.4,45.7,39.0,1
18.3,47.8,34.5,14.5,32.6,68.0,70.2,83.7,0
30.5,18.4,82.9,47.0,83.4,48.1,89.7,80.3,0
6.9,22.9,37.7,41.6,40.3,73.8,23.3,60.8,1
64.4,63.1,21.5,64.1,70.8,88.5,43.4,98.2,1
46.9,34.1,83.8,92.7,63.7,19.3,32.8,40.7,1
56.5,89.1,86.7,62.6,96.2,88.4,21.7,63.4,1
28.2,38.9,56.3,8.2,36.3,60.8,65.6,16.5,0
76.6,85.0,11.5,95.1,22.6,39.6,29.4,92.5,1
52.2,84.1,87.6,73.8,83.5,81.7,29.9,42.6,1
24.9,6.8,48.0,2.1,59.5,98.1,18.7,63.3,1
66.2,77.9,21.4,39.5,7.8,3.9,21.9,68.6,1
95.9,95.4,11.5,66.7,23.7,68.3,84.3,30.2,1
65.3,42.5,89.6,5.1,68.0,76.7,67.3,27.3,0
42.5,82.3,85.6,66.0,39.6,66.3,32.8,0.7,1
44.4,56.5,65.1,90.5,10.9,10.5,6.7,80.8,1
62.1,1.2,26.4,72.6,96.0,14.9,73.0,0.3,1
21.1,50.9,68.4,81.9,75.9,71.7,3.8,43.4,1
1.1,19.9,27.9,63.5,66.5,55.6,99.0,60.8,0
0.4,94.7,23.5,64.4,12.4,35.8,96.8,74.6,0
28.7,79.1,8.8,33.7,85.9,77.8,3.4,29.5,1
72.9,94.7,1.9,59.1,60.5,6.3,16.2,98.2,1
0.2,40.2,98.1,4.8,36.8,43.2,51.4,62.1,0
21.2,53.8,34.3,44.0,37.2,82.6,20.4,61.8,1
41.4,89.7,60.6,35.3,5.6,7.9,80.6,56.5,0
28.8,5.0,2.0,94.3,77.0,48.0,84.0,36.8,1
39.5,6.1,46.5,47.4,35.8,65.4,17.1,99.8,1
50.8,34.8,68.1,78.8,68.9,4.4,61.7,98.4,0
43.6,1.3,40.8,12.0,35.8,24.3,71.6,93.5,0
37.8,81.2,52.2,50.4,79.6,81.3,49.1,81.3,1
58.0,60.7,8.0,51.1,53.3,70.0,19.0,13.7,1
72.2,24.1,57.1,69.8,3.9,86.9,1.2,84.9,1
19.1,46.1,54.9,39.4,85.6,38.9,38.9,92.3,0
86.5,85.0,61.9,90.3,61.6,93.7,23.5,12.3,1
16.8,23.9,5.0,90.7,65.6,27.0,53.6,69.1,1
13.7,22.7,89.6,80.8,95.5,21.5,55.2,87.9,0
71.1,83.0,27.9,59.7,24.1,73.8,39.4,67.0,1
25.0,60.0,83.2,32.5,68.5,75.4,49.8,24.4,1
51.3,29.2,20.6,47.7,89.5,51.0,22.0,7.2,1
69.7,42.5,79.6,80.0,75.7,0.5,27.1,21.7,1
51.4,11.3,82.1,50.5,24.6,7.2,75.4,36.3,0
27.8,75.6,62.2,77.6,48.1,40.3,86.9,26.2,1
17.1,89.6,67.1,37.3,92.4,66.1,79.0,21.1,1
96.0,74.8,69.4,4.9,72.6,83.3,53.7,87.7,0
15.5,68.2,89.6,36.3,85.1,2.1,47.0,77.5,0
90.9,74.6,94.5,98.9,58.4,46.2,62.4,71.1,1
49.9,89.7,61.7,6.0,26.5,90.0,62.6,78.7,1
98.4,93.8,99.0,45.6,17.6,89.7,78.0,99.6,1
13.1,32.7,68.4,82.8,55.6,49.0,65.4,80.0,0
87.0,63.6,76.5,84.4,9.3,80.0,40.0,9.0,1
86.6,37.8,71.8,92.2,42.0,82.4,18.3,48.3,1
55.9,6.6,77.4,24.8,86.7,31.5,32.7,80.9,0
69.5,22.2,15.9,32.2,6.0,83.3,50.8,84.1,1
86.8,23.9,20.9,86.0,59.9,2.0,88.7,57.0,0
72.5,38.7,88.6,9.1,11.3,46.9,35.4,0.9,1
34.9,44.5,24.9,79.0,29.0,62.3,96.9,32.5,1
28.7,37.2,84.6,92.8,54.2,58.2,77.1,64.6,1
32.3,93.4,53.1,38.5,61.5,83.4,55.2,74.5,1
31.5,83.5,42.0,97.3,68.7,21.7,14.8,42.3,1
54.4,93.5,28.3,86.3,9.2,61.5,59.3,61.8,1
41.0,11.4,14.1,11.9,61.6,57.4,41.6,11.9,1
5.5,35.9,9.8,51.2,28.0,60.3,88.6,34.8,1
52.2,88.2,19.0,98.0,5.4,84.9,92.5,84.3,1
29.8,18.3,70.8,41.1,2.0,15.9,47.9,54.6,0
89.5,39.2,94.8,92.5,85.4,1.8,68.1,67.8,0
13.1,6.6,0.1,47.4,76.9,56.8,4.2,34.4,1
74.5,47.0,30.0,6.8,21.5,0.2,55.2,17.5,0
52.5,79.7,41.9,84.6,0.8,31.9,71.0,98.9,1
36.6,88.9,12.9,37.0,48.3,32.6,65.9,49.8,1
72.4,70.4,69.9,59.1,53.7,74.6,89.4,74.7,1
42.2,34.9,76.1,49.5,7.4,56.7,75.2,55.8,0
3.2,39.5,24.0,89.9,18.3,50.2,43.3,11.6,1
5.4,68.1,45.5,73.4,84.2,3.6,37.5,91.6,0
97.5,18.2,80.7,38.2,64.5,87.6,42.4,56.9,1
26.5,5.3,39.6,80.6,22.1,37.1,34.7,29.5,1
8.7,46.7,81.6,70.4,92.1,53.1,17.5,88.8,1
18.5,53.8,20.8,34.5,71.9,0.6,45.9,13.4,0
7.3,79.2,89.5,52.8,36.8,32.5,63.4,87.3,0
77.1,1.9,75.3,91.8,59.3,77.9,89.7,54.6,1
91.2,41.4,27.3,29.0,78.9,83.2,88.9,25.4,1
34.3,84.4,62.5,36.6,65.2,71.7,86.1,69.5,0
23.4,87.7,1.3,75.4,86.6,23.4,35.4,89.4,1
7.3,72.2,54.3,93.9,54.6,89.6,24.9,28.1,1
93.4,24.9,16.7,43.9,1.0,20.2,43.5,43.5,1
56.5,78.3,91.5,70.1,66.5,64.5,68.6,51.8,1
79.9,45.7,64.6,79.3,60.7,13.8,55.0,15.1,1
87.5,2.8,44.9,2.5,32.5,41.8,0.1,59.2,1
33.0,9.4,96.7,74.2,64.6,21.4,58.0,63.8,0
53.2,3.4,11.5,72.9,51.8,85.8,98.2,47.0,1
64.1,13.0,77.6,12.0,63.3,45.9,46.6,25.9,0
27.1,50.6,2.4,57.2,44.9,7.3,52.0,14.4,1
59.2,97.4,58.4,49.8,63.6,32.5,32.6,26.9,1
91.4,67.0,70.5,14.7,46.4,40.3,0.4,4.7,1
23.3,82.4,8.7,34.7,27.5,78.1,49.3,48.6,1
53.3,2.9,61.2,92.8,53.5,87.1,63.6,47.9,1
46.7,28.2,64.2,3.0,59.0,84.3,13.7,47.6,1
17.0,41.1,82.5,65.9,19.5,70.1,47.9,44.2,1
97.1,91.4,40.3,15.9,38.3,29.8,91.1,56.1,0
86.9,58.6,41.6,85.4,83.9,24.1,4.1,30.0,1
8.2,8.0,58.6,81.7,83.8,12.1,69.1,57.0,0
93.8,93.2,63.1,89.1,57.9,18.9,74.6,84.0,1
35.9,66.6,70.3,54.3,83.9,16.1,8.5,42.0,1
44.1,48.6,41.0,56.6,79.3,34.3,10.2,85.3,1
72.6,83.4,25.1,16.6,97.1,73.5,12.5,5.7,1
93.4,53.0,21.3,84.8,63.4,60.3,67.7,44.9,1
23.7,56.0,71.8,46.4,71.8,16.5,92.8,21.5,0
91.6,17.3,46.1,2.4,14.2,9.3,66.9,24.7,0
42.9,46.3,7.3,28.5,81.3,26.3,52.0,27.3,1
72.3,15.6,20.3,19.5,82.9,19.4,94.8,78.8,0
48.7,62.1,45.8,57.2,69.5,53.4,1.5,62.8,1
41.6,97.4,46.9,71.0,24.4,0.8,1.1,61.0,1
38.0,68.0,11.1,94.8,70.4,41.7,37.4,74.8,1
5.4,18.9,59.1,66.4,70.5,26.4,8.4,75.6,0
80.6,32.5,31.3,84.3,74.4,0.3,44.7,29.4,1
92.8,71.3,38.7,11.5,50.3,43.6,50.3,52.5,1
49.9,99.0,4.0,44.3,84.9,4.3,93.1,0.8,1
78.3,78.4,16.4,77.7,99.2,88.1,14.3,95.2,1
60.6,8.2,30.3,37.1,87.0,96.2,44.5,40.9,1
61.3,99.3,20.3,61.0,86.3,80.9,2.0,9.6,1
80.6,70.8,64.1,96.8,50.1,52.3,62.7,91.6,1
97.1,84.5,32.7,51.3,49.5,64.1,9.9,24.1,1
4.2,77.0,34.4,34.9,16.0,30.0,76.3,97.8,0
6.7,48.3,16.6,20.0,71.8,75.1,70.7,75.3,0
98.8,66.0,12.7,74.4,61.8,16.0,21.5,2.2,1
99.8,97.9,87.6,2.5,31.6,0.3,77.5,49.0,0
85.3,67.0,1.8,87.3,85.0,29.8,5.1,49.2,1
45.9,71.1,26.6,32.1,87.5,91.0,72.3,64.8,1
56.9,94.3,43.1,79.9,0.5,49.5,96.2,65.2,1
57.2,12.6,46.0,45.2,87.4,50.9,35.2,99.9,0
49.7,92.7,56.5,35.9,0.0,30.3,1.3,49.0,1
63.4,87.5,99.6,12.0,80.5,0.4,76.7,49.9,0
74.8,82.4,81.3,27.1,2.2,24.3,89.6,94.7,0
28.6,93.6,5.3,45.0,29.3,78.3,11.6,95.8,1
52.2,75.7,71.0,32.3,22.8,20.2,18.2,49.6,1
9.9,86.9,41.0,36.1,74.3,64.3,12.8,71.4,1
86.1,57.0,22.1,40.3,91.9,36.5,11.1,68.4,1
74.0,58.7,28.8,53.9,28.1,34.3,53.6,72.7,1
31.3,47.3,36.2,80.7,10.5,54.3,98.3,32.7,1
86.3,28.4,52.1,5.2,39.3,23.6,28.5,44.1,0
84.1,99.6,35.5,93.8,68.9,51.6,71.1,62.4,1
44.7,88.8,64.4,6.0,1.1,64.9,0.4,12.7,1
14.5,9.6,39.0,42.5,80.2,9.9,76.3,83.4,0
72.4,4.8,83.1,16.3,70.9,4.1,16.4,40.7,0
37.8,95.2,36.2,45.3,61.4,16.7,50.4,24.6,1
4.8,15.5,63.1,2.2,80.7,49.9,84.4,13.7,0
50.7,50.9,2.9,24.7,19.5,24.9,34.9,19.0,1
41.0,17.9,65.1,99.6,59.2,3.9,97.5,96.8,0
36.9,21.5,33.2,7.9,35.5,74.8,51.8,99.8,0
83.7,92.1,57.8,6.7,68.2,55.9,18.7,31.4,1
36.8,96.8,18.8,68.0,92.5,92.4,33.2,96.7,1
45.1,27.7,65.2,66.0,3.2,5.1,22.3,74.8,0
64.1,57.8,22.6,67.0,39.8,23.7,2.7,29.1,1
76.9,83.4,94.3,72.1,2.5,47.8,0.8,14.9,1
67.6,73.8,80.3,49.3,70.5,38.2,10.8,77.6,1
43.6,51.1,37.2,55.8,36.1,86.5,32.4,32.3,1
27.0,43.0,93.1,89.4,7.6,60.0,21.2,15.8,1
33.0,41.1,66.9,95.4,70.8,91.2,12.5,37.9,1
21.8,49.8,92.7,28.7,45.7,93.2,63.3,81.0,0
90.6,0.4,67.0,45.1,31.9,49.7,42.3,57.7,1
14.0,75.7,80.5,56.4,16.5,63.7,63.7,21.3,1
52.0,59.5,62.3,51.5,70.6,58.2,33.0,62.1,1
43.3,41.0,35.6,65.4,19.0,24.4,68.2,94.9,0
81.4,53.9,38.6,2.3,97.5,47.3,19.0,93.5,0
11.8,12.7,70.8,67.6,51.1,57.4,31.8,59.8,1
85.8,61.1,13.5,5.5,97.3,24.5,4.8,63.0,1
2.0,40.3,44.4,89.2,13.7,58.5,52.7,77.3,1
2.8,11.9,58.4,84.3,68.4,21.5,49.8,94.8,0
18.4,94.6,35.3,45.6,59.4,7.3,49.0,9.2,1
9.2,98.0,30.3,89.3,13.0,94.2,32.3,65.0,1
24.9,12.3,38.4,38.1,96.6,85.7,83.2,62.3,0
96.6,51.3,6.6,55.6,9.6,88.6,19.7,51.0,1
97.1,69.2,24.2,89.8,25.9,32.8,54.6,67.2,1
84.6,24.2,53.6,85.1,69.2,0.8,71.2,16.7,1
66.2,8.0,41.5,53.9,59.3,3.0,31.2,40.5,0
80.0,2.1,64.4,69.9,39.8,62.0,0.3,74.6,1
30.7,27.4,7.0,23.8,87.0,79.8,3.0,77.3,1
48.6,41.5,10.4,49.8,56.9,71.4,8.1,45.0,1
38.9,44.3,87.5,80.9,85.5,30.7,62.5,75.2,0
51.2,41.2,55.5,33.8,40.9,96.6,30.2,77.2,1
61.2,14.2,32.5,26.9,72.5,11.7,22.3,78.9,0
15.0,45.1,2.6,15.6,45.3,39.0,81.0,5.0,1
76.8,58.7,73.5,29.7,98.3,28.1,70.8,5.9,0
37.8,11.8,10.6,0.1,56.1,95.8,34.7,4.2,1
70.9,95.2,92.6,96.0,31.5,71.5,64.0,96.7,1
9.9,27.1,87.9,85.3,99.1,16.2,60.2,54.0,0
25.8,9.6,11.5,48.8,83.4,70.8,36.4,27.6,1
25.3,46.0,8.6,67.8,46.0,96.7,40.9,80.0,1
80.7,19.6,93.4,58.2,43.5,39.5,20.5,85.6,0
0.5,43.7,67.6,45.4,44.2,71.9,12.6,33.5,1
88.0,34.0,35.9,66.5,69.4,12.2,29.0,79.1,1
44.0,88.9,55.3,57.2,89.6,76.4,62.2,84.5,1
23.1,26.4,53.8,96.5,41.3,77.8,2.7,25.6,1
49.4,70.8,36.6,91.5,19.3,56.1,28.6,35.1,1
75.0,0.5,95.6,32.5,88.2,86.4,4.2,42.9,1
52.5,3.1,55.7,79.4,87.8,25.8,89.4,80.0,0
55.2,97.1,25.3,40.4,0.3,10.8,83.2,98.5,0
88.2,53.7,47.9,10.1,22.7,32.4,30.1,36.2,1
87.9,33.3,8.1,95.6,54.9,76.8,62.3,79.5,1
96.6,99.8,94.8,50.3,63.2,92.0,38.7,74.1,1
10.7,92.5,26.1,43.3,24.4,54.5,5.0,64.0,1
58.8,19.8,96.8,67.1,81.2,77.5,77.3,69.9,0
6.5,99.7,41.2,96.6,2.5,44.3,80.2,86.2,1
25.2,78.1,68.6,80.9,85.2,5.0,90.7,19.3,0
31.8,78.6,44.6,24.6,58.6,86.7,64.5,46.0,1
