@relation TEST_ITEM_TRANS
@attribute R {1,2}
@attribute X numeric
@attribute y numeric

@attribute Class {0,1}

@data
2,7.47,6.81,0
1,0.44,1.77,0
2,7.23,1.8,0
2,8.22,1.96,1
2,0.65,3.44,1
1,2.03,4.5,1
2,5.19,7.0,0
2,6.38,4.33,0
2,0.05,9.08,1
2,8.94,5.68,0
1,8.17,7.89,0
1,9.17,6.03,0
1,4.64,0.57,0
1,9.53,0.74,0
1,7.76,7.55,1
1,1.64,9.82,0
2,0.74,6.79,1
2,7.11,1.33,1
1,4.8,7.71,1
2,9.41,8.62,1
1,9.35,9.89,0
2,5.92,8.94,1
1,5.04,1.97,1
2,4.17,9.05,1
2,3.38,4.85,0
2,3.26,7.66,0
2,3.5,1.75,0
2,6.92,3.49,0
2,7.08,8.76,1
1,3.58,1.22,0
2,3.78,9.95,1
1,6.94,1.97,1
2,0.44,2.74,1
2,7.11,1.61,0
1,0.36,3.48,0
2,3.44,3.29,0
2,6.39,2.71,0
1,0.08,3.23,0
2,2.68,8.76,1
1,8.13,2.53,1
2,8.45,0.51,1
1,4.48,7.92,1
1,1.26,5.04,1
1,1.22,9.59,0
1,1.08,4.77,1
1,3.97,2.13,1
1,6.14,7.36,1
2,8.34,0.59,1
1,4.04,0.87,0
1,8.44,8.63,0
1,8.69,6.35,1
2,4.63,0.75,1
2,6.08,1.2,0
1,2.09,0.0,0
1,7.55,3.52,1
1,2.07,3.95,1
1,1.62,1.39,0
1,0.46,1.94,0
1,9.11,9.94,0
2,8.47,0.36,1
2,7.72,4.49,0
1,8.66,8.66,0
1,2.46,2.7,1
2,1.49,9.51,1
1,6.06,3.9,1
2,7.88,2.53,0
2,7.56,6.61,0
1,7.34,1.56,0
2,7.82,6.48,0
2,8.36,4.18,0
1,4.32,9.81,0
1,3.14,5.17,1
1,6.24,0.36,0
2,6.42,8.05,0
2,8.44,9.29,1
2,2.93,4.97,0
2,3.81,7.34,0
1,8.5,2.14,0
1,8.2,7.71,0
1,0.58,6.44,0
2,7.89,6.87,0
2,8.87,8.9,1
1,4.0,5.13,1
2,8.51,0.57,1
1,9.51,8.38,0
1,7.68,6.88,1
1,0.04,8.45,0
2,8.7,4.21,0
2,6.67,0.48,1
1,3.73,0.96,0
2,4.56,8.2,0
2,2.48,6.25,0
1,3.79,9.38,0
2,0.99,0.66,1
2,2.01,6.15,0
1,7.59,2.87,1
2,4.73,5.28,1
2,9.98,3.41,1
1,7.06,7.82,1
1,5.3,8.27,1
2,6.63,3.43,0
1,4.01,1.33,1
1,6.45,2.71,1
1,6.78,0.14,0
2,6.89,7.44,0
1,6.73,6.26,1
1,0.8,9.96,0
2,6.7,1.5,0
1,4.89,4.96,0
1,0.88,9.06,0
1,3.85,9.89,0
1,2.7,2.75,1
1,4.56,0.7,0
2,8.87,4.8,0
1,2.08,1.69,0
1,2.42,9.67,0
1,2.26,8.95,0
1,3.54,5.9,1
1,2.58,4.2,1
1,5.17,4.44,0
1,8.61,6.97,0
1,2.58,0.6,0
2,1.6,1.12,1
2,2.36,8.35,1
1,0.69,2.03,0
1,2.45,3.7,1
2,0.68,3.13,1
1,0.82,5.26,0
2,4.22,8.66,0
1,6.74,1.13,0
2,1.28,7.79,1
1,4.48,6.02,1
1,2.85,8.36,1
1,0.97,9.17,0
1,2.42,4.07,1
1,4.16,3.83,1
2,4.01,2.09,0
2,9.09,2.81,1
2,9.45,0.95,1
1,1.27,0.95,0
2,7.87,6.12,0
2,8.54,6.63,0
2,4.97,9.54,1
2,9.31,6.42,1
2,7.51,4.01,0
1,8.29,4.43,1
1,5.89,5.81,1
1,8.13,4.16,1
1,4.85,2.5,1
2,0.08,2.1,1
1,2.89,4.9,1
2,7.95,9.5,1
2,8.04,5.24,0
2,5.55,0.78,1
2,0.89,0.01,1
2,5.52,1.28,0
1,1.46,7.88,0
1,1.43,4.46,1
1,0.82,7.46,0
1,1.74,4.7,1
1,0.41,8.62,0
2,2.19,8.55,1
2,4.68,5.52,1
2,9.16,8.53,1
2,7.16,2.22,0
2,3.58,2.23,0
2,6.96,7.93,0
1,9.57,7.78,0
2,5.24,0.32,1
1,1.62,9.14,0
1,6.39,3.15,1
1,5.16,0.64,0
1,3.23,9.33,0
1,0.34,6.71,0
1,2.83,8.1,1
1,2.88,5.54,1
2,8.36,6.48,0
1,7.12,5.5,1
2,3.98,9.92,1
2,9.42,0.95,1
2,4.33,6.99,0
2,7.16,5.0,0
1,6.94,0.94,0
1,4.6,7.31,1
1,6.22,9.56,0
1,9.14,2.82,0
2,9.18,1.57,1
2,3.14,6.45,0
1,8.54,3.67,1
1,0.84,8.76,0
2,2.65,1.72,1
2,9.75,9.89,1
1,0.59,1.12,0
2,8.17,4.93,0
1,4.06,5.15,0
1,8.67,3.07,0
1,5.73,4.72,0
2,2.82,7.08,0
1,3.05,1.56,1
2,8.38,7.63,1
2,8.62,0.38,1
2,2.07,1.39,1
2,8.03,9.34,1
2,2.76,9.05,1
1,6.38,3.8,1
1,0.86,4.4,0
2,8.15,6.85,0
2,3.82,1.57,0
1,6.5,0.53,0
2,8.93,2.08,1
1,7.07,2.18,1
1,6.26,6.47,1
2,5.35,7.62,0
2,6.51,6.85,0
2,2.06,1.08,1
2,1.94,4.17,0
1,7.7,6.98,1
2,9.31,9.24,1
2,8.98,9.02,1
1,2.41,3.92,1
2,7.91,4.4,0
1,8.61,2.91,0
2,0.47,7.47,1
2,9.39,8.69,1
2,9.2,4.39,1
2,3.92,8.93,1
1,1.33,5.24,1
2,7.75,5.51,0
1,7.59,9.35,0
1,4.92,6.85,1
2,1.27,3.84,0
2,1.53,4.75,0
2,1.5,1.96,1
2,5.6,6.56,0
1,1.03,1.62,0
2,2.76,3.92,0
1,8.09,2.67,1
1,7.16,5.72,1
1,3.53,3.3,1
2,3.03,3.99,0
2,1.02,8.64,1
2,6.67,3.77,0
2,7.11,1.99,0
1,1.37,7.88,0
1,3.74,8.1,1
2,6.65,3.41,0
1,2.56,7.05,1
1,6.78,2.51,1
2,5.51,2.72,0
1,5.45,6.14,1
2,0.72,5.8,1
2,1.29,6.8,1
2,5.85,2.73,0
2,0.79,7.65,1
1,1.44,7.96,0
1,9.19,9.04,0
1,6.14,2.55,1
1,8.18,4.02,1
1,8.85,0.52,0
1,9.41,7.78,0
1,4.4,0.99,0
1,2.53,8.26,0
2,1.7,6.14,0
1,2.48,0.26,0
1,1.97,7.79,0
2,4.97,1.03,0
2,0.76,1.31,1
2,9.22,2.89,1
2,7.44,8.62,1
1,8.13,7.72,0
2,8.47,0.24,1
1,6.96,7.52,1
2,5.29,3.04,0
1,1.02,7.43,0
1,8.81,8.01,0
1,9.42,6.86,0
2,2.61,4.48,0
2,0.29,7.25,1
1,7.85,0.66,0
1,9.05,1.28,0
2,8.73,8.05,1
2,6.86,7.98,0
1,7.46,1.72,0
1,5.79,8.03,1
1,8.14,0.96,0
1,7.03,4.52,1
1,6.78,3.36,1
2,2.94,2.36,0
2,7.51,1.53,1
1,3.8,6.51,1
1,7.2,6.22,1
2,0.36,7.85,1
2,2.85,5.97,0
1,8.4,1.15,0
1,8.23,5.6,1
1,6.6,1.59,1
1,2.69,7.77,1
2,3.26,1.7,0
2,2.25,1.38,1
2,5.01,6.61,0
2,7.32,2.17,0
2,6.22,1.15,1
1,6.85,7.17,1
2,5.21,1.79,0
1,3.96,8.0,1
2,1.26,1.39,1
1,3.71,8.73,1
2,8.62,5.83,0
1,0.91,1.49,0
2,4.24,3.48,0
1,3.04,3.36,1
1,7.57,8.65,0
2,2.73,0.65,1
1,1.72,4.96,1
2,2.05,1.62,1
2,9.69,9.86,1
1,1.76,5.46,1
1,8.66,4.76,1
1,5.55,8.48,1
2,3.54,9.49,1
2,8.88,7.61,1
2,4.82,5.93,1
1,5.52,4.86,0
1,8.85,2.25,0
1,9.45,4.6,0
1,1.5,0.47,0
2,5.48,1.04,0
1,3.16,1.52,1
1,7.34,5.6,1
2,9.11,9.52,1
1,3.6,1.31,1
2,7.9,4.35,0
1,2.35,2.29,1
1,1.76,5.6,1
2,6.94,4.28,0
2,0.57,3.49,1
2,2.5,4.58,0
1,8.61,2.16,0
2,6.74,5.49,0
1,4.84,6.66,1
2,4.53,1.32,0
2,1.84,8.04,1
1,2.08,8.4,0
2,8.19,7.41,0
1,1.73,7.53,0
1,8.57,2.82,0
1,6.79,6.52,1
2,6.81,5.62,0
2,9.09,3.61,1
2,9.21,0.72,1
2,0.83,3.03,1
1,9.31,9.16,0
2,1.11,8.46,1
2,6.09,8.06,0
2,4.28,5.49,1
2,5.06,1.05,0
2,7.85,6.29,0
1,5.76,0.86,0
2,8.13,1.26,1
2,9.76,9.75,1
1,9.51,7.92,0
2,4.44,5.61,1
1,1.87,4.57,1
2,8.96,2.11,1
1,9.36,9.63,0
1,9.73,7.16,0
1,3.87,8.94,0
2,1.6,1.07,1
1,9.18,7.88,0
1,2.08,3.63,1
2,5.24,8.02,0
2,8.3,1.98,1
1,9.89,4.98,0
2,7.84,8.48,1
2,3.36,5.38,0
2,4.48,2.69,0
2,4.0,0.36,1
2,0.26,5.21,1
2,5.65,7.29,0
2,5.78,4.14,0
1,4.63,3.27,1
2,7.43,9.75,1
2,8.53,4.28,0
1,2.82,8.84,0
2,8.55,6.57,0
1,5.37,0.32,0
1,0.6,5.52,0
1,4.0,5.34,1
1,8.76,7.1,0
1,1.13,3.59,0
2,2.79,5.93,0
1,9.28,6.96,0
1,4.07,5.92,1
2,4.68,9.83,1
2,1.59,8.51,1
2,3.66,3.24,0
1,0.34,2.21,0
2,9.05,8.52,1
1,4.62,4.65,0
1,7.68,1.9,0
1,9.65,6.82,0
2,6.8,8.77,1
2,0.54,2.48,1
2,2.63,8.84,1
1,0.01,6.1,0
1,5.86,7.22,1
1,7.81,7.38,1
2,0.96,2.32,1
2,9.51,3.41,1
2,0.46,8.49,1
2,8.92,0.84,1
1,7.28,6.57,1
1,4.23,4.66,0
1,2.85,0.59,0
2,8.59,2.34,1
2,2.18,8.23,1
1,9.86,5.31,0
1,7.89,9.81,0
1,6.04,4.99,1
1,0.84,7.21,0
2,2.16,9.8,1
1,7.34,6.16,1
1,2.39,8.94,0
1,9.29,1.32,0
2,1.09,9.52,1
2,1.47,1.89,1
1,5.61,6.73,1
2,5.34,1.57,0
1,7.9,3.61,1
1,4.37,1.69,1
2,5.52,2.57,0
2,6.63,1.99,0
1,3.89,6.35,1
2,4.91,3.87,0
2,2.02,2.0,1
2,6.55,5.02,0
1,3.09,7.22,1
2,8.25,7.32,0
2,9.56,0.53,1
1,8.78,9.61,0
1,0.04,3.87,0
2,2.63,9.06,1
2,0.38,8.73,1
1,3.78,5.8,1
1,6.76,4.88,1
2,3.82,2.25,0
2,8.73,7.87,1
2,4.9,5.16,1
2,1.26,7.44,1
1,3.52,3.68,1
1,6.91,3.38,1
1,8.87,2.28,0
1,2.24,6.43,1
2,0.0,4.27,1
2,3.02,4.21,0
1,4.06,7.6,1
2,2.22,3.93,0
2,7.93,4.87,0
1,8.57,4.05,1
2,1.2,7.0,1
2,3.23,3.66,0
1,0.36,3.07,0
2,2.23,5.4,0
2,4.72,8.1,0
2,5.81,2.27,0
1,8.89,5.23,1
1,3.63,9.71,0
1,7.98,7.71,0
2,3.63,8.66,0
2,8.53,0.76,1
1,9.0,6.14,0
2,3.9,8.66,0
2,1.83,4.78,0
2,1.45,3.26,0
1,7.02,8.37,1
2,1.84,8.29,1
2,8.34,4.81,0
1,8.03,5.47,1
2,0.69,2.29,1
2,4.16,4.03,0
1,2.33,6.08,1
1,6.31,2.15,1
1,7.08,8.85,0
2,9.82,4.66,1
2,4.69,3.41,0
1,9.27,6.37,0
2,3.28,4.07,0
1,8.91,8.67,0
1,9.62,8.84,0
2,6.34,1.39,0
1,2.82,3.89,1
1,0.82,3.63,0
1,6.56,1.65,1
1,8.5,1.15,0
1,2.26,3.96,1
2,9.25,2.49,1
1,5.22,8.41,1
1,7.38,8.35,0
1,2.99,4.26,1
2,0.68,4.8,1
2,5.95,9.81,1
2,6.33,9.21,1
2,8.43,5.29,0
1,7.79,2.14,1
2,0.78,0.39,1
2,6.86,9.59,1
1,1.15,6.67,0
2,6.83,8.43,0
2,9.04,8.54,1
1,5.56,6.53,1
2,8.96,0.51,1
1,7.67,6.73,1
2,4.25,8.23,0
1,6.6,3.96,1
1,3.28,0.07,0
1,6.74,4.44,1
1,6.51,9.05,0
2,1.05,0.67,1
1,6.21,0.12,0
2,7.26,9.6,1
2,7.3,0.03,1
2,8.39,2.11,1
1,6.84,8.19,1
1,7.17,0.38,0
2,0.11,1.99,1
2,6.35,6.65,0
1,9.9,6.08,0
2,3.66,0.04,1
1,2.35,6.44,1
2,3.58,9.68,1
1,2.87,7.91,1
2,3.37,8.59,0
1,0.34,2.95,0
1,4.72,7.29,1
1,0.19,5.91,0
1,0.63,1.62,0
1,0.02,4.02,0
1,0.48,3.68,0
2,5.14,6.21,0
2,0.2,5.44,1
2,2.12,5.38,0
2,4.4,3.72,0
1,2.04,6.18,1
2,8.97,6.06,1
2,0.56,0.79,1
1,5.65,4.32,0
1,2.88,0.5,0
2,9.43,7.7,1
2,8.4,3.68,0
2,0.61,4.65,1
2,3.58,6.54,0
2,9.98,4.17,1
1,5.08,3.48,1
1,7.88,6.89,1
2,6.17,9.84,1
2,0.13,4.08,1
2,3.58,2.43,0
1,9.35,5.14,0
2,3.78,8.12,0
1,5.04,7.96,1
1,4.91,8.13,1
1,6.07,0.8,0
1,5.33,7.0,1
2,1.37,2.05,1
1,1.6,9.57,0
2,0.22,8.36,1
2,7.22,2.41,0
1,6.98,0.39,0
1,0.12,8.49,0
2,4.61,5.49,1
2,8.56,3.89,0
2,9.23,2.69,1
1,5.68,4.21,1
1,8.5,6.19,1
1,6.16,9.37,0
2,1.23,1.68,1
2,0.5,9.07,1
1,2.7,5.36,1
1,4.24,5.14,0
2,2.27,8.96,1
1,9.55,2.15,0
1,8.79,7.11,0
1,2.79,5.97,1
2,7.38,3.94,0
1,4.93,2.05,1
2,6.0,8.32,0
2,6.85,7.54,0
2,2.44,5.13,0
2,2.06,4.77,0
1,5.1,2.2,1
2,6.81,8.94,1
1,4.25,7.96,1
1,7.57,0.05,0
2,2.17,5.14,0
2,8.21,5.05,0
2,0.72,7.54,1
2,0.15,9.19,1
1,5.12,2.78,1
1,6.22,7.76,1
2,4.03,8.69,0
2,1.71,8.96,1
1,3.73,9.24,0
1,7.9,2.11,0
2,9.29,9.6,1
1,6.94,0.49,0
1,8.33,5.37,1
1,1.55,6.82,1
1,3.63,8.51,1
2,4.7,7.75,0
2,4.6,9.09,1
1,9.45,9.89,0
1,4.62,6.24,1
1,4.99,8.97,1
1,0.6,2.65,0
1,6.26,7.87,1
2,3.67,9.84,1
1,9.9,4.56,0
2,8.97,7.8,1
1,1.31,3.27,0
1,8.28,5.56,1
2,6.54,8.0,0
1,0.17,1.08,0
1,8.7,6.36,1
1,8.44,0.93,0
1,4.0,0.9,0
1,3.78,7.18,1
1,4.2,8.24,1
2,4.83,8.06,0
2,5.59,0.66,1
1,2.48,8.67,0
2,3.27,8.09,0
1,2.22,1.59,0
2,0.6,8.33,1
1,8.41,5.72,1
1,8.68,2.39,0
2,8.6,5.99,0
2,8.87,5.7,0
1,3.87,8.86,0
2,1.13,4.69,0
2,0.09,7.7,1
1,3.49,4.45,1
2,7.9,2.9,0
1,9.69,3.25,0
2,3.72,8.46,0
1,5.42,5.82,0
1,6.46,8.76,0
2,3.23,9.34,1
1,3.85,6.15,1
1,5.52,7.45,1
2,8.35,4.2,0
1,6.87,2.17,1
2,4.23,9.7,1
2,6.81,4.03,0
1,9.35,2.83,0
1,0.92,6.15,0
1,6.18,4.1,1
2,1.41,1.19,1
1,5.74,4.16,1
2,2.41,3.5,0
2,3.59,0.98,1
1,2.8,6.03,1
1,3.48,5.22,1
1,1.9,9.8,0
2,8.49,9.25,1
1,5.49,5.12,0
2,1.83,7.08,0
2,0.2,1.59,1
2,5.46,8.95,0
2,9.48,9.25,1
1,0.18,6.81,0
1,1.8,3.73,1
2,0.66,0.01,1
2,7.69,5.68,0
2,3.44,7.45,0
2,3.0,0.68,1
2,0.02,5.52,1
2,9.56,1.67,1
1,5.8,5.25,0
1,4.19,8.46,1
2,3.19,7.1,0
1,3.66,8.89,0
2,3.7,4.83,0
2,6.59,4.98,0
2,2.77,7.24,0
1,6.99,5.91,1
1,7.46,8.94,0
1,4.22,3.49,1
1,4.95,0.74,0
1,7.52,5.58,1
1,6.67,0.32,0
2,2.4,8.99,1
2,5.02,4.33,1
2,0.54,6.81,1
2,7.34,8.42,1
2,3.75,9.16,1
2,1.93,9.75,1
2,8.07,3.82,0
1,8.76,4.24,1
1,2.65,0.53,0
2,8.06,2.21,1
2,3.47,2.95,0
2,5.41,0.87,1
2,8.16,7.04,0
1,5.31,1.75,1
1,1.85,5.38,1
2,3.45,7.19,0
2,4.59,1.34,0
2,5.13,0.73,1
1,8.95,5.28,1
2,3.25,6.34,0
1,7.71,0.19,0
1,9.18,5.93,0
1,8.97,5.46,1
1,7.85,9.12,0
2,2.73,2.9,0
1,8.32,8.89,0
2,3.43,8.44,0
1,3.66,6.52,1
1,8.61,6.95,0
1,1.27,2.34,0
1,0.13,7.54,0
1,2.34,3.54,1
1,0.73,7.22,0
1,9.39,5.46,0
1,2.49,2.81,1
1,3.76,9.34,0
2,1.67,4.39,0
2,2.02,4.35,0
2,5.65,7.83,0
1,7.01,6.65,1
1,6.86,5.18,1
2,6.66,7.99,0
2,6.46,7.93,0
1,1.38,5.5,1
2,8.75,0.28,1
2,0.25,3.25,1
2,0.01,5.92,1
1,1.19,3.3,0
2,9.67,7.42,1
1,2.14,5.8,1
1,5.32,0.34,0
2,7.29,5.18,0
1,9.82,4.7,0
1,5.94,6.41,1
2,7.76,1.2,1
1,4.59,4.66,0
2,2.71,5.06,0
2,5.72,4.49,1
2,5.2,1.44,0
2,8.17,5.92,0
1,5.84,4.98,0
1,3.25,3.26,1
2,9.14,6.7,1
1,1.47,4.64,1
2,0.04,0.47,1
2,5.83,2.33,0
1,0.87,3.47,0
2,7.81,4.93,0
2,5.33,0.29,1
1,9.28,5.35,0
1,6.36,4.79,1
2,1.41,4.67,0
2,6.42,0.3,1
1,8.43,1.37,0
2,1.7,4.11,0
1,6.59,1.95,1
1,4.79,4.42,0
1,6.75,9.71,0
1,4.03,1.59,1
2,2.98,9.11,1
1,8.69,5.86,1
2,8.54,8.39,1
2,0.41,3.0,1
2,1.44,0.82,1
2,5.86,8.17,0
1,1.21,6.91,0
1,9.38,9.32,0
1,8.91,5.79,1
2,7.46,8.4,1
1,1.24,3.59,0
1,7.03,5.43,1
1,1.61,0.85,0
2,4.41,4.86,1
2,5.66,7.93,0
2,1.02,8.53,1
1,4.15,9.0,0
1,0.58,8.96,0
2,1.52,7.26,1
1,2.51,1.66,0
1,7.35,1.25,0
2,9.34,5.3,1
2,8.48,6.34,0
1,6.77,4.49,1
1,0.3,4.4,0
2,2.37,5.6,0
1,4.64,7.18,1
2,9.28,2.15,1
1,1.73,4.61,1
2,1.42,0.93,1
1,2.47,4.7,1
2,4.29,4.63,1
2,2.85,8.13,0
2,5.2,2.73,0
1,1.56,2.03,0
2,8.29,1.94,1
1,7.88,7.78,0
2,4.87,6.21,0
2,5.72,6.95,0
1,0.15,6.28,0
2,9.74,4.69,1
1,2.44,0.08,0
2,6.1,8.61,0
1,4.79,9.79,0
2,6.8,1.11,1
1,7.04,4.17,1
2,7.48,0.54,1
2,5.91,6.64,0
1,2.64,0.84,0
1,4.28,1.26,1
1,3.25,3.13,1
1,7.44,0.03,0
2,2.94,9.28,1
1,3.87,1.15,0
1,4.36,5.03,0
1,2.04,9.22,0
2,4.49,4.99,1
1,0.4,4.43,0
1,0.43,9.31,0
2,7.83,7.84,1
2,7.77,9.92,1
1,1.43,9.52,0
2,5.24,6.06,0
2,3.03,3.71,0
1,9.62,4.45,0
2,6.13,9.93,1
2,6.1,8.63,0
1,0.2,0.96,0
1,3.65,8.06,1
1,6.41,9.68,0
1,5.23,6.27,1
1,9.71,8.45,0
2,5.13,4.95,1
1,0.99,2.41,0
2,2.45,0.42,1
1,3.44,3.49,1
2,3.0,7.63,0
1,0.67,4.83,0
2,2.0,7.18,0
1,7.07,7.53,1
2,4.72,9.88,1
1,1.27,7.44,0
1,1.6,2.15,0
2,9.98,9.79,1
1,0.25,3.16,0
2,7.75,4.9,0
2,9.78,8.56,1
2,8.53,6.7,0
2,8.73,8.5,1
2,0.51,4.92,1
2,7.11,2.66,0
2,8.75,9.1,1
1,6.48,7.76,1
2,1.54,8.38,1
1,9.43,4.31,0
1,0.05,4.95,0
1,6.52,5.72,1
2,4.6,4.52,1
1,5.09,3.52,1
1,1.92,4.0,1
2,9.27,5.65,1
2,0.0,3.03,1
2,4.9,6.34,0
1,9.96,1.2,0
1,0.04,7.67,0
2,0.31,0.26,1
2,1.91,6.48,0
2,7.48,8.24,1
1,2.71,0.22,0
2,8.96,9.47,1
2,9.36,0.53,1
2,2.93,7.83,0
2,9.58,0.56,1
1,8.97,4.51,0
1,7.57,7.1,1
2,2.28,2.02,1
2,4.96,0.99,1
1,4.1,3.61,1
1,6.43,1.28,1
1,9.02,5.4,0
1,5.7,2.21,1
2,9.19,3.65,1
2,6.84,7.4,0
1,2.88,5.39,1
2,3.43,5.36,0
1,1.09,6.88,0
2,4.73,3.62,0
1,1.05,5.43,1
1,3.27,8.63,0
2,5.21,0.52,1
2,2.36,2.85,0
2,3.55,2.78,0
1,9.96,3.55,0
1,6.89,5.16,1
1,6.24,4.47,1
1,6.44,0.6,0
2,6.49,0.04,1
2,9.84,0.96,1
2,6.54,1.45,0
2,3.9,4.25,0
1,0.99,7.63,0
1,7.24,0.48,0
1,1.63,7.09,1
2,1.64,4.07,0
1,6.12,3.78,1
1,3.62,4.53,1
1,1.67,5.04,1
2,0.48,1.55,1
1,0.22,8.07,0
2,8.44,1.37,1
1,8.02,5.07,1
1,0.29,2.47,0
2,2.49,3.49,0
2,4.1,1.79,0
1,9.96,5.92,0
2,9.75,9.68,1
1,3.59,3.69,1
2,3.32,0.79,1
2,7.48,5.18,0
1,8.37,9.21,0
1,0.67,6.82,0
1,1.87,3.14,1
1,8.02,3.68,1
1,1.88,6.8,1
1,9.24,3.32,0
1,4.51,2.77,1
1,6.6,0.32,0
2,2.23,7.48,0
1,6.35,6.41,1
1,2.26,6.7,1
2,2.37,0.27,1
2,7.69,8.34,1
1,7.21,0.25,0
2,0.08,1.49,1
2,0.38,6.76,1
1,8.03,4.93,1
1,3.82,1.08,0
1,4.36,5.11,0
2,5.58,3.61,0
1,3.24,3.23,1
1,6.5,2.7,1
2,9.31,8.94,1
2,6.0,2.12,0
2,3.3,4.11,0
1,9.54,7.08,0
1,1.25,3.79,1
1,4.71,2.18,1
2,9.27,2.87,1
2,9.32,6.33,1
1,9.06,0.04,0
1,4.51,3.19,1
2,4.23,5.77,0
2,7.72,1.4,1
1,8.05,5.64,1
2,6.37,6.37,0
2,5.2,5.95,1
1,5.15,7.06,1
1,3.3,6.21,1
2,1.07,4.96,0
1,4.33,4.1,1
2,6.54,1.9,0
2,6.82,9.49,1
1,5.39,3.86,1
2,9.75,4.73,1
2,9.35,5.23,1
2,1.18,1.27,1
1,6.76,5.11,1
1,3.18,5.98,1
1,6.11,1.35,1
2,9.73,2.45,1
2,6.3,9.68,1
2,2.82,0.75,1
2,4.03,4.44,0
1,1.37,5.85,1
1,7.73,0.28,0
2,5.84,8.43,0
1,2.15,4.98,1
1,4.65,8.56,1
2,9.46,3.53,1
2,5.94,0.73,1
2,0.92,0.92,1
1,3.03,8.93,0
2,9.42,3.23,1
1,6.56,1.11,0
2,1.23,3.84,0
2,9.66,8.57,1
1,6.23,9.66,0
1,0.66,5.56,0
2,8.86,1.97,1
1,6.06,7.83,1
1,6.92,2.42,1
1,2.59,3.28,1
1,6.72,8.46,1
2,5.36,8.51,0
