@relation synthetic2

@attribute 'x' numeric
@attribute 'y' numeric
@attribute 'label' {0,1}

@data
6.103233, 13.572072, 0
6.103233, 10.174305, 1
16.477673, 34.961156, 0
16.477673, 30.001708, 1
12.545057, 25.849179, 0
12.545057, 20.924777, 1
4.118655, 7.500311, 0
4.118655, 3.657482, 1
19.603709, 39.550850, 0
19.603709, 34.990227, 1
8.755486, 16.968356, 0
8.755486, 13.751072, 1
16.703915, 32.702945, 0
16.703915, 30.429054, 1
10.783609, 22.555528, 0
10.783609, 17.476970, 1
0.502539, 2.998534, 0
0.502539, -2.155653, 1
0.136486, 0.548580, 0
0.136486, -4.024382, 1
15.721725, 40.426257, 0
15.721725, 36.598471, 1
8.947857, 17.199523, 0
8.947857, 13.450458, 1
5.774749, 11.281524, 0
5.774749, 6.440124, 1
17.263605, 34.188402, 0
17.263605, 31.667968, 1
13.124570, 27.575500, 0
13.124570, 23.182206, 1
5.693873, 10.940178, 0
5.693873, 6.867097, 1
12.891324, 25.806124, 0
12.891324, 21.192936, 1
5.271624, 11.147650, 0
5.271624, 7.924625, 1
3.495573, 10.561163, 0
3.495573, 6.686813, 1
7.372390, 13.816704, 0
7.372390, 10.940205, 1
10.750844, 21.281054, 0
10.750844, 18.660514, 1
18.528143, 36.338832, 0
18.528143, 33.089262, 1
14.982415, 37.421215, 0
14.982415, 33.009666, 1
2.954710, 10.783784, 0
2.954710, 5.636314, 1
0.057755, 0.004030, 0
0.057755, -2.726710, 1
2.540278, 9.901797, 0
2.540278, 4.376771, 1
18.338427, 35.314720, 0
18.338427, 33.818018, 1
13.442434, 26.787444, 0
13.442434, 22.726740, 1
2.275796, 7.308423, 0
2.275796, 3.583123, 1
19.204550, 38.395880, 0
19.204550, 33.516401, 1
2.387662, 7.601261, 0
2.387662, 5.684783, 1
9.848314, 26.018296, 0
9.848314, 22.028969, 1
7.226268, 15.282797, 0
7.226268, 10.723291, 1
9.400010, 24.372807, 0
9.400010, 19.317688, 1
1.175595, 2.516035, 0
1.175595, -0.454411, 1
6.600234, 14.057946, 0
6.600234, 9.069310, 1
5.290410, 11.235897, 0
5.290410, 6.996870, 1
4.918353, 9.883198, 0
4.918353, 7.179180, 1
18.953527, 36.251293, 0
18.953527, 32.743194, 1
0.648840, 0.848982, 0
0.648840, -2.273760, 1
18.123013, 34.254931, 0
18.123013, 30.916712, 1
7.369954, 14.364831, 0
7.369954, 8.816989, 1
13.250807, 27.383312, 0
13.250807, 23.791634, 1
19.072493, 38.618683, 0
19.072493, 34.221550, 1
1.882569, 6.191774, 0
1.882569, 0.196267, 1
13.706312, 27.219723, 0
13.706312, 22.407461, 1
8.248810, 17.205095, 0
8.248810, 12.851618, 1
2.235774, 8.580267, 0
2.235774, 3.683042, 1
9.836701, 24.735950, 0
9.836701, 22.157221, 1
9.231048, 24.493348, 0
9.231048, 19.598400, 1
17.541163, 34.512195, 0
17.541163, 31.457233, 1
13.204784, 25.487478, 0
13.204784, 25.131917, 1
5.559297, 10.515743, 0
5.559297, 7.950758, 1
13.143364, 26.086204, 0
13.143364, 21.817681, 1
12.908299, 28.460157, 0
12.908299, 21.581530, 1
17.944475, 35.360077, 0
17.944475, 30.371758, 1
17.646731, 34.601701, 0
17.646731, 31.402805, 1
6.703449, 12.683214, 0
6.703449, 10.464642, 1
8.540039, 17.078753, 0
8.540039, 14.236912, 1
16.075300, 33.298280, 0
16.075300, 27.515052, 1
18.461884, 35.762854, 0
18.461884, 33.291353, 1
17.334477, 32.214312, 0
17.334477, 30.975340, 1
9.993005, 25.900397, 0
9.993005, 22.042097, 1
11.689661, 24.375728, 0
11.689661, 18.673848, 1
18.495140, 34.575768, 0
18.495140, 32.266213, 1
3.322338, 11.415439, 0
3.322338, 6.649030, 1
7.487203, 16.225066, 0
7.487203, 10.555668, 1
5.188161, 10.550567, 0
5.188161, 5.948531, 1
16.609618, 31.259572, 0
16.609618, 29.751254, 1
1.403534, 2.827090, 0
1.403534, -0.478524, 1
5.620606, 11.805504, 0
5.620606, 7.185640, 1
11.100897, 23.033709, 0
11.100897, 18.512376, 1
12.379338, 25.467663, 0
12.379338, 22.006856, 1
8.195742, 17.124792, 0
8.195742, 11.807248, 1
5.168569, 11.462547, 0
5.168569, 6.707762, 1
8.334923, 15.471470, 0
8.334923, 13.170675, 1
7.641111, 16.316682, 0
7.641111, 11.037759, 1
1.926683, 2.096305, 0
1.926683, -0.381896, 1
2.625684, 9.304784, 0
2.625684, 5.231773, 1
12.197965, 24.722815, 0
12.197965, 19.640386, 1
13.123875, 27.343453, 0
13.123875, 23.720392, 1
16.819906, 32.661484, 0
16.819906, 29.644959, 1
9.996358, 26.174625, 0
9.996358, 21.228320, 1
6.143962, 13.623121, 0
6.143962, 7.965066, 1
3.395278, 11.184263, 0
3.395278, 8.248351, 1
0.975308, 2.706184, 0
0.975308, -3.834268, 1
4.516343, 9.000942, 0
4.516343, 5.554410, 1
7.339422, 14.083479, 0
7.339422, 11.530355, 1
11.356928, 23.720940, 0
11.356928, 19.459159, 1
11.394308, 23.394255, 0
11.394308, 17.415849, 1
15.575530, 40.239471, 0
15.575530, 36.943074, 1
11.804831, 23.155922, 0
11.804831, 19.304718, 1
2.213269, 8.481256, 0
2.213269, 4.716408, 1
12.813559, 26.672957, 0
12.813559, 21.007916, 1
1.440387, 1.815833, 0
1.440387, -1.167889, 1
7.316916, 15.199906, 0
7.316916, 9.262076, 1
5.746061, 11.965787, 0
5.746061, 7.126835, 1
14.828762, 39.210111, 0
14.828762, 32.853932, 1
1.339749, 4.647670, 0
1.339749, -1.593804, 1
15.143319, 39.595875, 0
15.143319, 34.626731, 1
4.814261, 8.503073, 0
4.814261, 5.688601, 1
4.618197, 7.599923, 0
4.618197, 6.187973, 1
0.239768, -0.862235, 0
0.239768, -3.413130, 1
2.649493, 10.023673, 0
2.649493, 2.572119, 1
4.187731, 7.845750, 0
4.187731, 3.883114, 1
4.283654, 7.495385, 0
4.283654, 5.685168, 1
18.115887, 36.043624, 0
18.115887, 33.281528, 1
5.555450, 11.006574, 0
5.555450, 9.095314, 1
1.942040, 2.522383, 0
1.942040, -0.857793, 1
15.656431, 39.337815, 0
15.656431, 36.652628, 1
13.350419, 25.610943, 0
13.350419, 22.871420, 1
12.253451, 23.671439, 0
12.253451, 21.213871, 1
6.875848, 14.654587, 0
6.875848, 10.068415, 1
13.806778, 27.078329, 0
13.806778, 24.045623, 1
4.671179, 8.643812, 0
4.671179, 5.569256, 1
6.160589, 13.821161, 0
6.160589, 7.881289, 1
7.146014, 15.319707, 0
7.146014, 7.914246, 1
4.333959, 9.102778, 0
4.333959, 3.428831, 1
13.545600, 27.403066, 0
13.545600, 21.545252, 1
14.720294, 36.533020, 0
14.720294, 32.961647, 1
0.200371, -0.280595, 0
0.200371, -6.063126, 1
7.118286, 15.021861, 0
7.118286, 10.585716, 1
4.799092, 9.658411, 0
4.799092, 6.569484, 1
18.552175, 36.563228, 0
18.552175, 31.612940, 1
15.259736, 40.590197, 0
15.259736, 34.399251, 1
7.587742, 14.585875, 0
7.587742, 10.665608, 1
13.719126, 26.770089, 0
13.719126, 22.963810, 1
13.977453, 27.460239, 0
13.977453, 24.755785, 1
11.807965, 21.229876, 0
11.807965, 19.390595, 1
19.241111, 39.005420, 0
19.241111, 33.909653, 1
15.626913, 40.311132, 0
15.626913, 34.152632, 1
10.768550, 22.074057, 0
10.768550, 17.642033, 1
1.882765, 2.563846, 0
1.882765, 0.058522, 1
17.720174, 34.196162, 0
17.720174, 31.546639, 1
5.149903, 11.171794, 0
5.149903, 6.653007, 1
9.270137, 23.901729, 0
9.270137, 21.272579, 1
6.615965, 14.386148, 0
6.615965, 10.259920, 1
15.135468, 37.136773, 0
15.135468, 33.681662, 1
16.056987, 32.650655, 0
16.056987, 28.201816, 1
16.062354, 31.161225, 0
16.062354, 28.581649, 1
17.532737, 34.531022, 0
17.532737, 31.118660, 1
1.749481, 2.821422, 0
1.749481, -0.157937, 1
13.358272, 27.968894, 0
13.358272, 21.694000, 1
10.048439, 20.897586, 0
10.048439, 16.721030, 1
6.711241, 13.616523, 0
6.711241, 8.938325, 1
11.771229, 24.830036, 0
11.771229, 19.363068, 1
7.038652, 13.119359, 0
7.038652, 12.025468, 1
4.134353, 6.553287, 0
4.134353, 4.186423, 1
5.243091, 10.922306, 0
5.243091, 6.790687, 1
1.972986, 4.006645, 0
1.972986, -2.527326, 1
3.001264, 10.070623, 0
3.001264, 6.890184, 1
6.420387, 11.915163, 0
6.420387, 10.444847, 1
11.887789, 24.483531, 0
11.887789, 18.619782, 1
3.074761, 10.648322, 0
3.074761, 5.925964, 1
1.252512, 1.182705, 0
1.252512, -2.236990, 1
0.155645, 0.267119, 0
0.155645, -5.695084, 1
15.485203, 40.179251, 0
15.485203, 33.612051, 1
13.640900, 27.189252, 0
13.640900, 23.237717, 1
2.410063, 10.845851, 0
2.410063, 4.841167, 1
14.385068, 36.842044, 0
14.385068, 33.461218, 1
3.237082, 10.227693, 0
3.237082, 6.131759, 1
2.403203, 7.524721, 0
2.403203, 4.473285, 1
13.623042, 27.266844, 0
13.623042, 24.800757, 1
2.896533, 10.390448, 0
2.896533, 5.063621, 1
1.156555, 4.199945, 0
1.156555, -2.495234, 1
2.698840, 8.587321, 0
2.698840, 5.903308, 1
0.295609, 0.380996, 0
0.295609, -2.850026, 1
3.782343, 11.642172, 0
3.782343, 7.530897, 1
1.417242, 3.169865, 0
1.417242, -1.147414, 1
0.757195, 1.944495, 0
0.757195, -3.167015, 1
6.157404, 13.794756, 0
6.157404, 9.539015, 1
10.314711, 21.340330, 0
10.314711, 16.836983, 1
7.870215, 15.180584, 0
7.870215, 12.493096, 1
19.903910, 42.211030, 0
19.903910, 36.929475, 1
8.792000, 17.033295, 0
8.792000, 14.293922, 1
3.028793, 10.482228, 0
3.028793, 3.984722, 1
15.561011, 40.614301, 0
15.561011, 36.200515, 1
14.823469, 39.206944, 0
14.823469, 33.108317, 1
1.752874, 2.496870, 0
1.752874, -0.396278, 1
9.408514, 24.645228, 0
9.408514, 20.987350, 1
5.856592, 10.939199, 0
5.856592, 6.001221, 1
8.137012, 16.134638, 0
8.137012, 13.792921, 1
8.604745, 17.054477, 0
8.604745, 13.518830, 1
17.425243, 33.577720, 0
17.425243, 31.549576, 1
14.145003, 36.669006, 0
14.145003, 32.150471, 1
0.285947, 0.992099, 0
0.285947, -2.906266, 1
0.491674, 0.788736, 0
0.491674, -3.049901, 1
4.739885, 9.033885, 0
4.739885, 5.208615, 1
11.965309, 23.592400, 0
11.965309, 20.994506, 1
18.523963, 34.831429, 0
18.523963, 32.982338, 1
6.688270, 12.202994, 0
6.688270, 8.283573, 1
8.860659, 16.810550, 0
8.860659, 14.289506, 1
1.982761, 4.117082, 0
1.982761, -0.806497, 1
14.303024, 36.829113, 0
14.303024, 31.991306, 1
14.432768, 36.445982, 0
14.432768, 32.315051, 1
15.649419, 39.882884, 0
15.649419, 36.414624, 1
18.840902, 37.934143, 0
18.840902, 33.823089, 1
0.951370, 2.756419, 0
0.951370, -3.207333, 1
16.007008, 31.974405, 0
16.007008, 27.688540, 1
9.335768, 24.765988, 0
9.335768, 21.265349, 1
5.582797, 11.786545, 0
5.582797, 6.986995, 1
0.894422, 1.819480, 0
0.894422, -2.697448, 1
15.751019, 40.571937, 0
15.751019, 33.359410, 1
17.982477, 35.342951, 0
17.982477, 30.769543, 1
15.513678, 39.486630, 0
15.513678, 35.014009, 1
16.749005, 33.347961, 0
16.749005, 27.689292, 1
6.888414, 14.211423, 0
6.888414, 9.298359, 1
3.823852, 10.811743, 0
3.823852, 7.134136, 1
7.568778, 15.935827, 0
7.568778, 10.451852, 1
5.126677, 7.846126, 0
5.126677, 5.311829, 1
0.429265, 0.166104, 0
0.429265, -2.298156, 1
5.865576, 13.895419, 0
5.865576, 6.038574, 1
4.808456, 11.272358, 0
4.808456, 6.342590, 1
4.051780, 8.172520, 0
4.051780, 3.806068, 1
6.964416, 12.919808, 0
6.964416, 9.657334, 1
10.742992, 20.902909, 0
10.742992, 18.117026, 1
2.486285, 8.288750, 0
2.486285, 5.464353, 1
3.854766, 12.270449, 0
3.854766, 10.831973, 1
9.772391, 27.189939, 0
9.772391, 20.145979, 1
8.140208, 16.144903, 0
8.140208, 13.069079, 1
14.698377, 37.343811, 0
14.698377, 34.492128, 1
5.998098, 11.837171, 0
5.998098, 8.680239, 1
16.142723, 33.534620, 0
16.142723, 28.491990, 1
18.273290, 36.266977, 0
18.273290, 33.169735, 1
15.302161, 38.919888, 0
15.302161, 31.822481, 1
