@relation DNF9_train

@attribute region {1,2,3,4}
@attribute f1 {0,1}
@attribute f2 {0,1}
@attribute f3 {0,1}
@attribute f4 {0,1}
@attribute f5 {0,1}
@attribute f6 {0,1}
@attribute f7 {0,1}
@attribute f8 {0,1}
@attribute N0 numeric
@attribute N1 numeric
@attribute N2 numeric
@attribute N3 numeric
@attribute N4 numeric
@attribute N5 numeric
@attribute N6 numeric
@attribute N7 numeric
@attribute N8 numeric
@attribute N9 numeric
@attribute class {0,1}

@data
4,1,0,0,1,0,0,0,0,63,86,69,79,7,69,81,62,8,25,0
1,1,1,0,1,0,1,0,0,60,55,19,83,36,96,48,3,67,17,1
4,0,1,1,1,0,1,0,1,16,72,15,92,23,22,78,26,60,81,0
1,1,0,0,0,1,0,0,1,45,14,75,41,94,89,3,57,98,42,0
2,1,1,0,1,1,1,1,1,68,89,33,73,12,21,90,10,83,39,0
1,1,1,0,0,1,1,1,1,95,42,60,10,32,84,28,65,5,94,1
4,1,0,0,1,1,1,0,0,2,21,60,1,5,66,25,7,57,66,0
2,1,0,1,0,0,1,1,0,8,44,98,17,31,89,33,32,59,41,0
4,0,1,0,1,0,0,0,0,59,36,63,85,29,79,85,77,34,79,0
2,0,1,0,1,1,1,1,0,81,74,58,13,44,14,80,74,40,81,0
1,1,1,0,0,0,1,1,0,31,93,6,15,36,25,8,68,30,19,1
2,1,1,1,1,1,0,0,0,3,97,70,87,26,69,13,9,41,33,1
1,0,1,0,1,0,1,1,0,10,23,1,71,66,62,36,2,11,93,0
1,1,1,0,0,0,0,1,1,20,65,20,5,22,68,48,9,32,98,1
3,0,1,1,1,0,1,0,0,20,61,28,38,37,51,22,67,80,86,0
2,1,0,0,1,0,0,1,0,12,2,69,28,38,5,87,78,20,53,0
4,1,0,0,1,0,1,1,0,31,67,9,45,93,64,80,71,68,86,0
2,1,0,0,0,0,0,1,1,4,60,44,28,78,39,41,76,41,77,0
2,0,0,0,0,1,1,0,1,93,39,31,30,48,50,21,87,0,79,0
3,1,1,1,1,0,1,1,1,2,68,43,40,17,80,13,23,76,93,0
3,0,1,1,1,1,1,0,0,92,29,96,59,10,57,43,61,92,21,1
3,0,0,1,0,1,0,0,1,93,36,80,66,12,19,47,70,45,92,0
2,0,1,1,1,1,1,1,0,24,74,20,85,66,69,92,36,17,55,1
3,0,0,1,0,0,1,1,0,6,71,67,84,93,53,39,49,81,62,0
4,0,0,0,0,0,0,0,1,44,92,10,93,79,81,35,54,80,53,0
3,1,1,0,0,1,1,0,1,60,64,18,3,7,25,16,6,7,2,1
2,0,1,0,1,1,0,1,0,65,86,82,29,43,98,12,97,94,42,0
3,1,0,0,0,0,1,0,0,88,94,44,94,49,33,77,36,78,76,0
4,0,1,1,0,1,1,1,1,50,12,22,59,35,53,80,89,28,75,1
4,1,1,0,0,0,0,1,1,99,22,74,13,23,55,76,95,77,84,1
4,0,0,0,1,0,0,1,0,37,84,73,51,55,22,17,86,12,87,0
3,0,0,0,1,0,0,0,0,97,26,96,44,24,21,61,77,0,19,0
4,1,1,0,1,0,1,1,0,6,69,16,54,82,50,26,5,35,11,0
1,1,1,0,0,1,0,0,0,63,87,62,37,57,59,45,8,71,1,1
3,1,1,0,0,1,0,1,1,75,99,83,16,37,5,98,8,31,94,0
1,0,1,0,0,1,1,0,1,8,88,81,28,65,22,54,85,42,98,0
1,0,1,0,1,0,0,0,1,20,7,88,82,84,22,39,32,83,75,0
2,0,0,1,0,1,1,1,1,6,24,91,75,76,1,54,14,93,84,0
4,1,1,1,0,0,1,0,1,77,70,36,36,66,29,93,2,1,22,0
2,0,0,0,1,1,1,0,1,40,45,57,0,3,97,90,8,87,4,0
1,1,0,0,0,1,0,1,1,84,36,17,60,28,10,8,38,56,15,0
1,0,1,1,0,1,0,0,1,60,22,14,26,85,58,39,23,67,48,0
1,0,1,1,0,0,1,1,1,74,59,60,31,67,42,40,75,69,65,0
3,1,1,1,0,0,1,0,0,7,46,58,37,84,11,24,20,14,82,0
4,1,0,1,0,0,1,0,1,24,35,76,43,24,83,72,71,91,52,0
2,0,1,0,0,0,0,1,0,23,6,86,21,87,21,19,30,33,41,0
4,1,0,0,0,0,1,1,1,56,17,87,4,75,67,33,98,35,30,1
1,0,0,0,1,1,0,1,0,39,29,71,48,86,35,62,96,59,51,0
1,1,0,0,0,0,1,1,1,3,8,71,27,65,51,73,58,18,48,0
2,0,0,0,1,1,1,0,1,37,4,90,11,72,50,8,53,3,96,0
1,0,0,0,1,0,1,1,1,36,38,33,22,15,96,9,92,54,34,0
2,0,0,0,0,1,1,1,1,70,93,30,18,37,92,48,52,47,95,0
2,1,1,1,1,0,1,1,0,83,77,84,58,47,64,1,10,12,50,1
1,0,0,0,1,1,1,0,0,48,3,82,84,14,13,50,86,94,66,0
1,1,1,0,1,0,0,0,0,64,87,94,32,13,74,92,49,8,5,1
