@relation DNF9_train

@attribute region {1,2,3,4}
@attribute f1 {0,1}
@attribute f2 {0,1}
@attribute f3 {0,1}
@attribute f4 {0,1}
@attribute f5 {0,1}
@attribute f6 {0,1}
@attribute f7 {0,1}
@attribute f8 {0,1}
@attribute N0 numeric
@attribute N1 numeric
@attribute N2 numeric
@attribute N3 numeric
@attribute N4 numeric
@attribute N5 numeric
@attribute N6 numeric
@attribute N7 numeric
@attribute N8 numeric
@attribute N9 numeric
@attribute class {0,1}

@data
4,1,1,0,0,1,1,0,0,21,40,7,39,3,87,3,12,75,35,0
4,1,1,0,0,1,1,1,1,45,79,52,86,96,54,63,4,68,67,1
4,0,0,1,0,0,1,1,0,16,66,8,54,5,1,21,74,99,55,0
1,1,1,1,0,1,0,1,1,14,71,58,67,72,50,1,97,64,85,1
4,1,1,1,1,0,1,1,0,52,97,4,58,2,14,70,36,41,2,0
1,1,0,0,1,0,0,1,0,44,6,7,96,5,96,40,59,68,45,0
1,1,1,0,1,0,1,0,0,60,88,51,40,79,2,64,55,77,64,1
2,1,0,0,0,0,0,1,1,4,64,2,42,6,77,45,98,18,82,0
4,0,1,1,1,0,1,0,1,16,13,8,30,8,22,3,96,69,53,0
1,0,1,0,1,1,0,1,0,68,84,1,17,1,23,64,87,87,81,0
4,0,0,0,0,0,1,1,0,83,51,3,15,2,21,68,77,55,43,0
1,1,0,0,0,1,0,1,1,84,69,5,85,6,28,29,84,67,59,0
4,1,0,1,1,1,0,0,1,42,19,4,17,4,92,11,21,16,39,0
3,0,1,1,1,0,1,0,0,20,28,8,47,7,22,24,83,12,83,0
4,1,0,0,1,1,0,1,1,1,89,79,59,81,35,92,38,50,84,1
1,0,0,1,0,1,1,1,1,73,67,1,89,7,69,13,10,17,96,0
3,1,0,1,0,0,0,1,0,50,71,3,24,6,41,63,9,11,66,0
1,1,0,0,0,1,0,0,1,58,89,4,53,5,83,92,22,47,59,0
2,1,1,0,1,1,0,1,0,39,76,6,70,5,67,73,47,67,98,0
2,1,1,1,1,0,1,0,1,50,45,98,41,76,1,71,16,33,5,1
3,0,0,0,0,0,1,1,1,67,67,1,86,4,42,53,26,39,52,0
2,1,0,0,1,0,0,1,0,12,72,6,1,9,5,78,15,54,42,0
1,1,1,1,1,0,0,1,0,9,93,56,91,59,9,25,58,69,49,1
3,0,1,1,1,1,0,0,1,48,90,1,87,7,93,8,74,51,14,0
2,1,0,1,0,0,0,1,1,44,73,0,84,0,17,57,5,86,87,0
4,1,1,1,1,0,1,0,1,24,70,0,82,5,51,66,3,42,93,0
1,0,0,0,1,0,0,0,0,8,57,8,13,6,86,62,66,81,84,0
4,1,0,0,0,0,0,1,1,37,6,77,66,97,89,45,78,5,78,1
1,0,1,0,0,0,0,0,1,27,30,4,53,1,74,8,76,8,79,0
3,0,0,1,1,0,1,0,1,31,60,2,13,2,69,7,80,46,71,0
4,1,1,1,0,0,1,0,1,77,13,4,4,5,85,48,85,11,93,0
1,1,1,1,1,0,1,1,0,24,74,70,58,95,50,80,55,35,77,1
3,0,1,1,0,1,0,0,0,33,19,1,66,5,11,69,89,65,50,0
4,1,1,0,1,0,1,1,1,59,29,62,58,96,21,33,10,42,75,1
2,0,0,0,0,0,0,0,1,98,18,6,58,6,70,61,84,99,60,0
1,1,0,0,0,0,1,1,1,3,96,9,28,6,80,35,65,4,67,0
1,1,1,0,0,0,0,0,1,18,35,78,29,63,39,98,32,30,54,1
4,1,0,0,1,1,0,1,1,74,15,71,55,84,67,43,34,7,69,1
1,0,0,1,1,0,0,1,0,15,87,8,94,3,19,50,38,15,37,0
3,0,1,1,0,0,0,1,1,16,6,6,5,8,96,48,5,2,25,0
4,0,0,1,0,1,0,1,0,49,57,6,92,1,83,22,33,6,91,0
3,1,1,0,0,1,1,0,1,60,33,94,36,63,21,33,58,57,17,1
2,0,1,0,0,0,1,1,1,87,23,1,30,4,51,19,99,64,94,0
2,0,1,0,1,1,0,1,0,65,86,9,7,5,50,20,76,20,42,0
2,1,1,1,1,0,1,1,0,83,68,90,13,61,72,41,6,46,63,1
1,0,1,0,1,0,0,0,1,20,65,9,51,0,89,10,35,51,65,0
3,0,1,1,0,0,0,1,1,9,66,0,51,6,57,43,48,60,5,0
4,0,0,0,0,1,1,0,1,75,87,7,79,0,79,92,4,89,15,0
3,1,1,0,0,0,1,1,1,93,48,6,18,7,65,12,48,57,8,0
1,1,0,0,0,0,1,1,0,3,1,0,72,0,33,71,14,92,53,0
1,0,1,1,0,0,1,1,1,74,76,9,31,9,73,69,88,24,22,0
4,0,1,1,0,0,0,0,0,44,28,4,0,1,89,84,60,9,32,0
2,0,1,0,1,1,1,1,0,81,4,8,28,7,70,87,2,56,26,0
3,1,1,1,1,0,1,1,0,55,22,9,10,2,42,3,86,57,86,0
1,1,1,0,0,1,1,1,0,42,32,94,3,73,66,93,89,50,30,1
3,0,0,1,1,1,1,0,1,21,2,64,1,64,56,23,9,12,11,1
4,0,0,1,0,1,0,0,1,88,26,6,92,6,53,77,42,10,38,0
3,1,0,0,1,1,0,1,1,30,69,1,41,8,91,88,28,42,49,0
2,1,1,0,1,1,1,1,1,68,32,5,47,1,32,96,73,54,33,0
3,1,1,1,0,0,1,0,1,27,77,3,74,9,59,91,11,27,92,0
4,0,0,1,0,0,1,0,1,6,79,5,98,1,64,3,93,56,83,0
