@relation TEST_ITEM_TRANS
@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute Class {0,1}

@data
96.0,72.0,62.2,1
48.3,3.6,78.5,1
84.0,11.5,81.5,1
82.3,56.0,71.6,1
70.1,26.9,77.7,1
35.2,32.6,17.0,1
13.8,6.1,50.1,1
66.1,22.8,73.2,1
62.2,11.5,88.2,1
68.5,71.7,29.9,1
61.8,39.6,80.0,1
9.5,12.6,13.9,1
87.3,25.8,86.2,1
58.3,63.4,9.1,1
42.4,34.8,88.6,1
30.4,33.6,65.2,1
42.5,27.3,6.5,1
67.4,17.2,49.6,1
16.2,15.3,96.9,1
98.6,68.3,17.6,1
86.6,47.6,82.8,1
55.5,84.8,3.4,0
19.5,88.8,76.1,1
33.2,48.2,59.3,1
48.6,81.3,88.5,1
22.5,93.9,94.5,1
15.0,4.7,46.7,1
54.8,10.4,90.4,1
82.4,73.4,56.0,1
33.0,91.1,95.2,1
13.1,34.2,79.0,1
43.5,88.5,23.5,0
17.6,56.0,21.7,0
69.4,42.8,14.1,1
13.5,25.0,45.8,1
51.5,86.1,21.6,0
54.9,83.7,48.4,1
66.6,44.0,45.3,1
18.4,80.4,77.4,1
20.8,84.0,20.9,0
58.2,17.3,75.3,1
75.7,85.7,28.2,1
65.2,11.0,68.1,1
56.2,29.6,90.9,1
92.1,7.2,43.7,1
8.3,30.3,70.1,1
84.6,3.3,60.9,1
80.6,43.9,42.8,1
50.6,10.5,45.1,1
78.5,62.9,78.2,1
26.6,81.3,12.6,0
0.9,97.6,97.5,1
79.2,17.8,44.4,1
56.1,96.8,18.7,0
89.6,21.1,55.7,1
93.6,96.3,52.7,1
89.4,5.9,16.0,1
10.7,72.7,91.8,1
20.8,36.3,49.3,1
52.4,80.2,19.4,0
96.1,98.9,49.8,1
6.9,78.4,84.8,1
53.8,33.8,44.8,1
26.9,34.6,40.0,1
2.6,52.1,30.9,0
56.5,72.9,6.2,0
55.5,46.3,32.7,1
23.6,74.3,97.5,1
42.8,68.5,28.2,1
88.4,15.1,85.5,1
53.7,3.2,72.0,1
6.0,55.2,93.5,1
79.7,87.6,71.0,1
88.0,11.3,35.9,1
59.3,53.7,92.8,1
69.6,78.7,40.7,1
46.8,98.3,11.5,0
15.9,85.1,21.2,0
55.2,3.4,22.1,1
26.3,90.5,85.2,1
46.5,62.6,76.8,1
19.0,67.6,96.5,1
68.0,87.7,25.0,1
5.4,24.8,28.1,1
58.5,0.1,61.0,1
85.2,58.6,72.2,1
73.8,30.9,9.6,1
23.2,44.9,95.1,1
4.6,84.9,5.8,0
89.2,8.4,52.8,1
86.3,42.3,46.6,1
69.2,28.5,5.9,1
70.2,98.6,53.1,1
88.3,78.9,98.1,1
49.9,91.4,8.4,0
72.1,1.6,21.6,1
87.6,23.9,89.4,1
59.8,92.9,13.2,0
51.5,56.1,67.3,1
45.4,53.4,15.7,1
36.1,82.9,43.7,0
16.9,28.3,55.2,1
66.3,19.9,85.7,1
38.9,63.5,26.0,1
39.7,20.2,20.0,1
19.7,65.5,50.2,1
72.2,15.4,82.5,1
73.2,6.4,95.6,1
26.3,90.6,11.9,0
3.8,87.3,53.2,0
85.4,67.6,48.8,1
44.0,38.2,22.5,1
32.4,12.6,74.4,1
58.8,35.2,36.8,1
33.8,93.2,88.7,1
22.8,58.7,22.4,0
0.0,42.7,39.9,0
30.2,42.1,82.8,1
33.6,22.2,39.3,1
1.3,79.3,48.7,0
12.0,70.0,21.7,0
32.3,36.6,63.4,1
54.0,46.5,47.2,1
81.0,11.0,58.1,1
88.9,52.3,89.9,1
36.3,97.1,58.0,0
2.4,36.3,86.6,1
41.0,85.3,7.6,0
61.4,45.7,39.0,1
86.6,43.0,18.3,1
14.5,32.6,68.0,1
70.2,83.7,30.5,1
47.0,83.4,48.1,1
89.7,80.3,54.7,1
41.6,40.3,73.8,1
23.3,60.8,64.4,1
64.1,70.8,88.5,1
43.4,98.2,46.6,0
34.1,83.8,92.7,1
63.7,19.3,32.8,1
89.1,86.7,62.6,1
96.2,88.4,21.7,1
71.7,28.2,38.9,1
56.3,8.2,36.3,1
16.5,76.6,85.0,1
11.5,95.1,22.6,0
92.5,24.9,85.3,1
52.2,84.1,87.6,1
81.7,29.9,42.6,1
24.9,6.8,48.0,1
98.1,18.7,63.3,1
92.1,9.5,84.3,1
77.9,21.4,39.5,1
7.8,3.9,21.9,1
95.4,11.5,66.7,1
23.7,68.3,84.3,1
85.4,64.7,55.6,1
65.3,42.5,89.6,1
76.7,67.3,27.3,1
42.5,82.3,85.6,1
66.3,32.8,0.7,1
83.2,67.4,44.4,1
90.5,10.9,10.5,1
6.7,80.8,62.1,0
0.3,34.4,83.9,1
21.1,50.9,68.4,1
71.7,3.8,43.4,1
1.1,19.9,27.9,1
55.6,99.0,60.8,1
10.2,36.6,0.4,0
35.8,96.8,74.6,1
28.7,79.1,8.8,0
77.8,3.4,29.5,1
78.0,47.2,72.9,1
6.3,16.2,98.2,1
0.2,40.2,98.1,1
43.2,51.4,62.1,1
7.7,2.0,54.4,1
53.8,34.3,44.0,1
37.2,82.6,20.4,0
89.7,60.6,35.3,1
5.6,7.9,80.6,1
56.5,28.8,5.0,1
2.0,94.3,77.0,0
36.8,39.5,6.1,1
46.5,47.4,35.8,1
99.8,41.7,59.1,1
50.8,34.8,68.1,1
4.4,61.7,98.4,1
43.6,1.3,40.8,1
24.3,71.6,93.5,1
51.4,17.4,37.8,1
50.4,79.6,81.3,1
49.1,81.3,58.0,1
51.1,53.3,70.0,1
19.0,13.7,20.5,1
24.1,57.1,69.8,1
3.9,86.9,1.2,0
46.1,54.9,39.4,1
85.6,38.9,38.9,1
97.6,56.8,42.1,1
86.5,85.0,61.9,1
93.7,23.5,12.3,1
16.8,23.9,5.0,0
27.0,53.6,69.1,1
42.4,51.4,13.7,1
80.8,95.5,21.5,1
55.2,87.9,71.1,1
59.7,24.1,73.8,1
39.4,67.0,49.3,1
60.0,83.2,32.5,1
68.5,75.4,49.8,1
29.2,20.6,47.7,1
89.5,51.0,22.0,1
89.4,69.7,42.5,1
79.6,80.0,75.7,1
11.3,82.1,50.5,0
24.6,7.2,75.4,1
51.2,27.8,75.6,1
62.2,77.6,48.1,1
26.2,17.1,89.6,1
67.1,37.3,92.4,1
21.1,25.1,92.9,1
96.0,74.8,69.4,1
87.7,15.5,68.2,1
89.6,36.3,85.1,1
77.5,21.5,46.0,1
90.9,74.6,94.5,1
46.2,62.4,71.1,1
49.9,89.7,61.7,1
90.0,62.6,78.7,1
31.4,36.7,98.4,1
89.7,78.0,99.6,1
13.1,32.7,68.4,1
49.0,65.4,80.0,1
93.6,1.7,10.8,1
63.6,76.5,84.4,1
9.3,80.0,40.0,0
92.2,42.0,82.4,1
18.3,48.3,80.6,1
6.6,77.4,24.8,0
86.7,31.5,32.7,1
22.2,15.9,32.2,1
6.0,83.3,50.8,0
60.7,86.8,23.9,0
20.9,86.0,59.9,0
38.7,88.6,9.1,0
11.3,46.9,35.4,1
44.5,24.9,79.0,1
29.0,62.3,96.9,1
37.2,84.6,92.8,1
54.2,58.2,77.1,1
31.6,32.3,93.4,1
53.1,38.5,61.5,1
74.5,31.5,83.5,1
42.0,97.3,68.7,1
42.3,97.0,12.9,0
68.1,40.3,54.4,1
86.3,9.2,61.5,1
59.3,61.8,41.0,1
57.4,41.6,11.9,1
24.1,35.0,5.5,0
51.2,28.0,60.3,1
88.6,34.8,52.2,1
98.0,5.4,84.9,1
92.5,84.3,54.9,1
18.3,70.8,41.1,0
2.0,15.9,47.9,1
39.2,94.8,92.5,1
85.4,1.8,68.1,1
37.3,13.1,6.6,1
0.1,47.4,76.9,1
34.4,74.5,47.0,1
30.0,6.8,21.5,1
17.5,95.6,16.7,0
56.2,58.0,52.5,1
84.6,0.8,31.9,1
71.0,98.9,36.6,1
32.6,65.9,49.8,1
28.1,27.7,72.4,1
59.1,53.7,74.6,1
89.4,74.7,42.2,1
49.5,7.4,56.7,1
75.2,55.8,54.2,1
39.5,24.0,89.9,1
18.3,50.2,43.3,1
73.4,84.2,3.6,0
37.5,91.6,17.8,0
38.2,64.5,87.6,1
42.4,56.9,26.5,1
80.6,22.1,37.1,1
34.7,29.5,45.0,1
46.7,81.6,70.4,1
92.1,53.1,17.5,1
53.8,20.8,34.5,1
71.9,0.6,45.9,1
79.2,89.5,52.8,1
36.8,32.5,63.4,1
1.9,75.3,91.8,1
59.3,77.9,89.7,1
78.5,91.2,41.4,1
27.3,29.0,78.9,1
84.4,62.5,36.6,1
65.2,71.7,86.1,1
12.7,23.4,87.7,1
1.3,75.4,86.6,1
89.4,7.3,72.2,1
54.3,93.9,54.6,1
28.1,58.9,37.6,1
93.4,24.9,16.7,1
20.2,43.5,43.5,1
56.5,78.3,91.5,1
64.5,68.6,51.8,1
12.1,66.6,79.9,1
79.3,60.7,13.8,1
55.0,15.1,87.5,1
2.5,32.5,41.8,1
0.1,59.2,75.2,1
9.4,96.7,74.2,0
64.6,21.4,58.0,1
3.4,11.5,72.9,1
51.8,85.8,98.2,1
59.4,64.1,13.0,1
77.6,12.0,63.3,1
25.9,27.1,50.6,1
2.4,57.2,44.9,0
14.4,44.6,81.7,1
59.2,97.4,58.4,1
32.5,32.6,26.9,1
91.4,67.0,70.5,1
40.3,0.4,4.7,1
40.8,58.3,23.3,1
78.1,49.3,48.6,1
53.3,2.9,61.2,1
87.1,63.6,47.9,1
23.0,14.1,46.7,1
3.0,59.0,84.3,1
13.7,47.6,17.0,0
65.9,19.5,70.1,1
47.9,44.2,57.8,1
15.9,38.3,29.8,1
91.1,56.1,86.9,1
85.4,83.9,24.1,1
4.1,30.0,24.8,0
81.7,83.8,12.1,1
69.1,57.0,93.8,1
89.1,57.9,18.9,1
74.6,84.0,55.8,1
66.6,70.3,54.3,1
83.9,16.1,8.5,1
48.6,41.0,56.6,1
79.3,34.3,10.2,1
80.2,5.8,89.6,1
23.5,15.2,72.6,1
16.6,97.1,73.5,0
12.5,5.7,93.4,1
84.8,63.4,60.3,1
67.7,44.9,72.0,1
45.7,23.7,56.0,1
71.8,46.4,71.8,1
2.4,14.2,9.3,0
66.9,24.7,47.0,1
46.3,7.3,28.5,1
81.3,26.3,52.0,1
15.6,20.3,19.5,1
82.9,19.4,94.8,1
35.4,48.7,62.1,1
45.8,57.2,69.5,1
62.8,41.6,97.4,1
46.9,71.0,24.4,1
96.1,47.9,97.9,1
38.0,68.0,11.1,0
41.7,37.4,74.8,1
5.4,18.9,59.1,1
26.4,8.4,75.6,1
42.8,12.6,80.6,1
84.3,74.4,0.3,1
44.7,29.4,92.8,1
11.5,50.3,43.6,1
50.3,52.5,20.4,1
99.0,4.0,44.3,1
84.9,4.3,93.1,1
77.7,99.2,88.1,1
14.3,95.2,18.9,0
8.2,30.3,37.1,1
87.0,96.2,44.5,1
99.3,20.3,61.0,1
86.3,80.9,2.0,1
36.5,80.6,70.8,1
64.1,96.8,50.1,1
91.6,97.1,84.5,1
32.7,51.3,49.5,1
24.1,12.8,24.5,1
4.2,77.0,34.4,0
30.0,76.3,97.8,1
6.7,48.3,16.6,0
75.1,70.7,75.3,1
22.9,47.2,98.8,1
74.4,61.8,16.0,1
21.5,2.2,99.8,1
97.8,85.6,48.4,1
85.3,67.0,1.8,1
49.2,45.9,71.1,1
26.6,32.1,87.5,1
64.8,77.6,4.8,0
15.4,83.8,56.9,0
79.9,0.5,49.5,1
96.2,65.2,57.2,1
45.2,87.4,50.9,1
35.2,99.9,19.2,0
92.7,56.5,35.9,1
0.0,30.3,1.3,0
87.5,99.6,12.0,1
80.5,0.4,76.7,1
2.6,10.4,19.1,1
64.8,49.6,74.8,1
27.1,2.2,24.3,1
89.6,94.7,28.6,1
78.3,11.6,95.8,1
5.6,83.0,89.7,1
75.7,71.0,32.3,1
22.8,20.2,18.2,1
86.9,41.0,36.1,1
74.3,64.3,12.8,1
54.0,86.1,57.0,1
22.1,40.3,91.9,1
68.4,74.0,58.7,1
28.8,53.9,28.1,1
72.7,10.9,68.8,1
31.3,47.3,36.2,1
54.3,98.3,32.7,0
86.3,28.4,52.1,1
23.6,28.5,44.1,1
35.5,27.8,84.1,1
51.6,71.1,62.4,1
44.7,88.8,64.4,1
9.6,39.0,42.5,1
80.2,9.9,76.3,1
4.8,83.1,16.3,0
70.9,4.1,16.4,1
61.2,37.8,95.2,1
36.2,45.3,61.4,1
24.6,4.8,15.5,1
63.1,2.2,80.7,1
13.7,54.3,80.2,1
50.7,50.9,2.9,1
24.9,34.9,19.0,1
41.0,17.9,65.1,1
21.5,33.2,7.9,0
35.5,74.8,51.8,1
6.7,68.2,55.9,0
18.7,31.4,57.8,1
96.8,18.8,68.0,1
92.5,92.4,33.2,1
27.7,65.2,66.0,1
3.2,5.1,22.3,1
63.5,64.1,57.8,1
22.6,67.0,39.8,0
83.4,94.3,72.1,1
2.5,47.8,0.8,0
3.8,67.6,73.8,1
80.3,49.3,70.5,1
77.6,43.6,51.1,1
37.2,55.8,36.1,1
32.3,66.8,65.0,1
27.0,43.0,93.1,1
15.8,33.0,41.1,1
66.9,95.4,70.8,1
47.1,21.8,49.8,1
92.7,28.7,45.7,1
81.0,90.6,0.4,0
67.0,45.1,31.9,1
57.7,21.7,77.2,1
14.0,75.7,80.5,1
63.7,63.7,21.3,1
52.0,59.5,62.3,1
58.2,33.0,62.1,1
15.4,10.7,49.6,1
41.0,35.6,65.4,1
19.0,24.4,68.2,1
2.3,97.5,47.3,0
19.0,93.5,52.3,0
67.6,51.1,57.4,1
31.8,59.8,85.8,1
5.5,97.3,24.5,0
4.8,63.0,96.8,1
7.5,2.0,40.3,1
44.4,89.2,13.7,0
77.3,2.8,11.9,1
58.4,84.3,68.4,1
94.8,46.5,85.6,1
18.4,94.6,35.3,0
7.3,49.0,9.2,0
9.2,98.0,30.3,0
65.0,65.6,11.1,1
24.9,12.3,38.4,1
85.7,83.2,62.3,1
96.6,51.3,6.6,1
88.6,19.7,51.0,1
60.6,78.3,97.1,1
89.8,25.9,32.8,1
54.6,67.2,84.6,1
85.1,69.2,0.8,1
71.2,16.7,73.4,1
8.0,41.5,53.9,1
59.3,3.0,31.2,1
2.1,64.4,69.9,1
39.8,62.0,0.3,0
69.0,30.7,27.4,1
7.0,23.8,87.0,1
41.5,10.4,49.8,1
56.9,71.4,8.1,0
8.4,38.9,44.3,1
87.5,80.9,85.5,1
75.2,51.2,41.2,1
55.5,33.8,40.9,1
88.2,61.2,14.2,1
32.5,26.9,72.5,1
78.9,15.0,45.1,1
2.6,15.6,45.3,1
5.0,40.8,39.8,1
76.8,58.7,73.5,1
5.9,37.8,11.8,0
10.6,0.1,56.1,1
4.2,6.9,0.9,0
14.6,3.9,96.6,1
95.2,92.6,96.0,1
31.5,71.5,64.0,1
85.3,99.1,16.2,1
60.2,54.0,8.5,1
9.6,11.5,48.8,1
83.4,70.8,36.4,1
46.0,8.6,67.8,1
46.0,96.7,40.9,0
48.5,80.7,19.6,0
93.4,58.2,43.5,1
85.6,0.5,43.7,1
67.6,45.4,44.2,1
33.5,24.9,47.8,1
88.0,34.0,35.9,1
12.2,29.0,79.1,1
44.0,88.9,55.3,1
76.4,62.2,84.5,1
20.6,25.3,23.1,1
96.5,41.3,77.8,1
2.7,25.6,49.4,1
91.5,19.3,56.1,1
28.6,35.1,8.1,1
0.5,95.6,32.5,0
88.2,86.4,4.2,1
3.1,55.7,79.4,1
87.8,25.8,89.4,1
26.4,55.2,97.1,1
25.3,40.4,0.3,0
10.1,22.7,32.4,1
30.1,36.2,4.1,0
33.3,8.1,95.6,1
54.9,76.8,62.3,1
92.0,38.7,74.1,1
22.6,10.0,10.7,1
43.3,24.4,54.5,1
5.0,64.0,58.8,1
77.5,77.3,69.9,1
13.7,25.8,6.5,0
86.2,25.2,78.1,1
68.6,80.9,85.2,1
43.1,31.8,78.6,1
44.6,24.6,58.6,1
46.0,53.5,72.1,1
15.2,29.5,76.1,1
78.5,34.2,83.4,1
76.9,0.0,54.7,1
20.4,7.5,47.5,1
29.6,94.6,58.1,0
37.1,14.9,44.2,1
21.6,67.0,93.3,1
15.1,99.3,47.5,0
45.6,22.7,36.5,1
63.6,34.2,58.4,1
42.7,32.2,58.3,1
37.7,4.5,42.9,1
55.3,0.4,5.9,1
13.7,69.7,7.0,0
12.7,26.1,72.2,1
49.6,88.2,11.8,0
39.2,83.8,46.3,1
97.2,41.6,7.7,1
83.0,23.6,5.3,1
97.6,11.0,24.7,1
34.7,6.4,45.6,1
80.8,80.3,78.6,1
15.0,76.7,77.8,1
61.6,34.8,31.8,1
73.0,88.1,52.4,1
15.2,94.1,75.5,0
42.4,83.6,34.3,0
72.4,72.8,28.4,1
3.5,71.7,74.3,1
10.5,94.9,76.9,0
96.5,65.3,72.7,1
68.6,31.5,41.0,1
93.4,74.5,27.0,1
73.3,38.7,15.8,1
6.5,41.7,50.9,1
56.9,30.9,66.0,1
61.8,46.2,53.7,1
34.4,72.9,36.9,0
18.2,56.6,8.9,0
94.2,80.0,17.1,1
83.9,20.2,17.0,1
12.8,89.6,75.7,0
41.2,6.3,20.4,1
1.0,77.8,87.6,1
60.3,47.4,21.0,1
49.7,16.3,94.0,1
27.8,12.9,56.2,1
68.0,90.0,73.7,1
42.3,66.5,19.7,0
31.6,22.0,22.2,1
53.5,89.9,33.2,0
82.7,75.1,64.0,1
48.2,76.9,2.3,0
50.5,27.4,45.8,1
7.8,28.2,15.6,0
83.8,40.9,85.5,1
91.5,1.5,70.3,1
14.5,70.0,74.8,1
21.1,97.6,31.6,0
87.7,59.1,15.7,1
58.5,61.5,74.0,1
11.3,59.9,12.4,0
51.0,69.3,39.1,1
99.8,49.9,62.5,1
37.1,24.6,75.5,1
6.6,32.1,5.3,0
56.1,50.9,60.3,1
89.7,95.1,98.5,1
53.3,62.0,17.4,1
10.6,62.4,4.4,0
17.4,12.8,20.3,1
59.6,13.5,10.6,1
69.6,88.3,41.8,1
97.5,7.1,60.7,1
41.1,86.3,80.5,1
87.4,81.6,46.9,1
82.8,2.5,29.1,1
36.2,17.3,32.4,1
42.3,71.8,93.0,1
75.7,99.2,1.0,0
15.9,9.9,75.6,1
46.6,52.5,11.7,1
89.3,22.6,92.1,1
89.5,70.6,65.7,1
97.0,77.1,79.8,1
28.2,40.4,56.3,1
33.0,97.7,52.6,0
45.6,41.8,56.7,1
91.5,44.8,30.5,1
43.5,91.7,31.4,0
58.4,14.1,16.6,1
36.6,82.3,80.0,1
3.0,3.4,74.8,1
14.5,46.7,53.5,1
23.8,32.3,0.3,0
38.4,92.4,82.4,1
25.0,87.2,86.3,1
62.9,83.2,85.4,1
35.4,59.0,31.9,1
99.2,49.9,59.7,1
79.0,71.8,92.1,1
89.9,77.0,92.4,1
79.2,77.3,58.5,1
82.4,73.7,43.8,1
89.7,4.2,63.9,1
28.0,91.8,88.5,1
20.8,19.2,82.0,1
73.2,41.9,24.7,1
8.4,35.8,82.8,1
71.3,95.1,64.2,1
54.7,50.0,3.3,1
20.8,64.2,8.6,0
87.3,81.2,93.6,1
61.7,41.7,80.5,1
